name,delta_gmlbol_2500,delta_gml52_2500
SDSSXCS-1018,0.0464,0.0337
SDSSXCS-10401,0.0042,-0.0861
SDSSXCS-110,0.1645,0.2359
SDSSXCS-11154,-0.07,-0.1173
SDSSXCS-1131,0.4518,0.4759
SDSSXCS-11331,-0.4519,-0.5583
SDSSXCS-11881,0.1636,0.1293
SDSSXCS-123,0.197,0.2155
SDSSXCS-124,0.0769,0.1084
SDSSXCS-13,0.1379,0.19
SDSSXCS-134,0.1221,0.158
SDSSXCS-147,0.2001,0.2588
SDSSXCS-15,0.3288,0.2791
SDSSXCS-155,0.4078,0.6399
SDSSXCS-15984,-0.0819,-0.0877
SDSSXCS-1628,-0.3837,-0.4683
SDSSXCS-16286,0.1338,0.0805
SDSSXCS-1645,0.1578,0.2053
SDSSXCS-165,-0.0159,-0.0152
SDSSXCS-176,-0.2033,-0.1897
SDSSXCS-1884,-0.2085,-0.1949
SDSSXCS-189,0.0176,0.1032
SDSSXCS-19,0.0755,0.1505
SDSSXCS-2,0.1843,0.2772
SDSSXCS-2032,-0.2695,-0.3418
SDSSXCS-209,0.2198,0.3308
SDSSXCS-210,-0.1477,-0.1574
SDSSXCS-212,-0.2463,-0.2777
SDSSXCS-22,-0.0425,-0.042
SDSSXCS-226,0.0743,0.1524
SDSSXCS-2282,0.6146,0.7564
SDSSXCS-2288,-0.3743,-0.4564
SDSSXCS-23,0.5654,0.513
SDSSXCS-2347,0.0348,0.1221
SDSSXCS-236,0.1176,0.174
SDSSXCS-239,-0.1292,-0.1238
SDSSXCS-2789,-0.0178,-0.0127
SDSSXCS-2836,-0.3564,-0.4103
SDSSXCS-286,-0.1296,-0.0591
SDSSXCS-29,0.0901,0.1853
SDSSXCS-290,-0.1554,-0.1618
SDSSXCS-298,0.097,0.0839
SDSSXCS-309,0.28,0.2852
SDSSXCS-31,0.2692,0.3864
SDSSXCS-314,0.1602,0.2606
SDSSXCS-32,-0.1035,-0.1446
SDSSXCS-325,0.4763,0.4684
SDSSXCS-3312,0.0907,0.0959
SDSSXCS-34,0.1259,0.1042
SDSSXCS-3672,0.0762,0.0614
SDSSXCS-382,-0.0824,-0.0954
SDSSXCS-395,0.0876,0.1369
SDSSXCS-4003,-0.1289,-0.1526
SDSSXCS-41,0.0932,0.1628
SDSSXCS-455,-0.0799,-0.1037
SDSSXCS-457,0.3611,0.3573
SDSSXCS-487,0.1914,0.2574
SDSSXCS-5,-0.0705,-0.0507
SDSSXCS-5020,-0.2342,-0.232
SDSSXCS-51,0.0929,0.1745
SDSSXCS-5159,-0.4615,-0.4619
SDSSXCS-5225,-0.2452,-0.3614
SDSSXCS-55,0.1424,0.2163
SDSSXCS-5527,-0.1302,-0.153
SDSSXCS-572,-0.3391,-0.415
SDSSXCS-574,-0.084,-0.0975
SDSSXCS-575,0.0088,-0.0119
SDSSXCS-5830,0.005,-0.0339
SDSSXCS-586,0.2047,0.1195
SDSSXCS-593,-0.1374,-0.189
SDSSXCS-6,0.0409,0.0902
SDSSXCS-64824,0.0062,-0.0639
SDSSXCS-65,0.0071,0.0641
SDSSXCS-68,0.0773,0.1355
SDSSXCS-6955,0.2733,0.2169
SDSSXCS-71,0.2305,0.242
SDSSXCS-7416,0.1472,0.0926
SDSSXCS-7432,0.1742,0.0899
SDSSXCS-75,0.1693,0.2855
SDSSXCS-765,0.3214,0.3372
SDSSXCS-7783,-0.3535,-0.4375
SDSSXCS-78,-0.125,-0.1561
SDSSXCS-8060,-0.1288,-0.114
SDSSXCS-890,0.1887,0.1648
SDSSXCS-893,-0.0589,-0.0052
SDSSXCS-9,0.0298,0.0398
SDSSXCS-907,0.1311,0.1746
SDSSXCS-9258,-0.2192,-0.2294
SDSSXCS-9313,0.2045,0.2492
SDSSXCS-944,0.2141,0.2491
SDSSXCS-9803,-0.4044,-0.478
