,dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
0,SDSSXCS-1018,0.7109,0.0239,1.3868,0.0415,0.1199,0.0095,0.607
1,SDSSXCS-10401,0.7096,0.0241,1.3887,0.0415,0.1198,0.0094,0.516
2,SDSSXCS-110,0.7103,0.0238,1.3838,0.0413,0.1194,0.0094,0.225
3,SDSSXCS-11154,0.711,0.0238,1.3893,0.0415,0.1197,0.0094,0.479
4,SDSSXCS-1131,0.7128,0.0237,1.3818,0.0408,0.1186,0.0093,-0.416
5,SDSSXCS-11331,0.7191,0.0227,1.4003,0.0398,0.1131,0.0089,-5.073
6,SDSSXCS-11881,0.7123,0.024,1.3856,0.0413,0.1197,0.0094,0.433
7,SDSSXCS-123,0.7106,0.0238,1.384,0.0412,0.1195,0.0094,0.269
8,SDSSXCS-124,0.7098,0.0241,1.3857,0.0416,0.1198,0.0094,0.524
9,SDSSXCS-13,0.7092,0.0239,1.3843,0.0414,0.1196,0.0094,0.372
10,SDSSXCS-134,0.7093,0.024,1.3849,0.0414,0.1196,0.0094,0.426
11,SDSSXCS-147,0.7098,0.0239,1.3835,0.0412,0.1193,0.0094,0.164
12,SDSSXCS-15,0.714,0.024,1.3834,0.0411,0.1192,0.0094,0.064
13,SDSSXCS-155,0.7078,0.0236,1.3794,0.0406,0.1177,0.0093,-1.233
14,SDSSXCS-15984,0.7117,0.024,1.3889,0.0416,0.1198,0.0094,0.56
15,SDSSXCS-1628,0.716,0.0232,1.3976,0.0405,0.1159,0.0092,-2.715
16,SDSSXCS-16286,0.7115,0.0241,1.3868,0.0413,0.1195,0.0094,0.325
17,SDSSXCS-1645,0.7112,0.0238,1.3844,0.0414,0.1195,0.0094,0.304
18,SDSSXCS-165,0.7107,0.0244,1.3875,0.0415,0.1198,0.0094,0.572
19,SDSSXCS-176,0.7085,0.0241,1.3906,0.0414,0.1195,0.0094,0.265
20,SDSSXCS-1884,0.7101,0.0239,1.3902,0.0415,0.1195,0.0094,0.269
21,SDSSXCS-189,0.71,0.024,1.3857,0.0414,0.1197,0.0094,0.469
22,SDSSXCS-19,0.7101,0.0239,1.3849,0.0413,0.1197,0.0094,0.453
23,SDSSXCS-2,0.707,0.0242,1.3831,0.0413,0.1193,0.0094,0.122
24,SDSSXCS-2032,0.7139,0.0236,1.3941,0.0412,0.1182,0.0093,-0.817
25,SDSSXCS-209,0.7081,0.0239,1.3824,0.041,0.1191,0.0094,-0.042
26,SDSSXCS-210,0.7101,0.0238,1.3895,0.0414,0.1196,0.0094,0.362
27,SDSSXCS-212,0.7081,0.0238,1.3924,0.0413,0.1189,0.0094,-0.195
28,SDSSXCS-22,0.7113,0.024,1.388,0.0416,0.1199,0.0094,0.597
29,SDSSXCS-226,0.7096,0.024,1.3849,0.0415,0.1197,0.0094,0.448
30,SDSSXCS-2282,0.7177,0.0238,1.3808,0.0407,0.118,0.0092,-0.992
31,SDSSXCS-2288,0.7197,0.0235,1.3976,0.0405,0.1161,0.0092,-2.559
32,SDSSXCS-23,0.7132,0.0236,1.3809,0.0407,0.1182,0.0093,-0.789
33,SDSSXCS-2347,0.7117,0.0239,1.3855,0.0414,0.1197,0.0094,0.457
34,SDSSXCS-236,0.7113,0.0239,1.3846,0.0414,0.1196,0.0094,0.389
35,SDSSXCS-239,0.7119,0.024,1.3895,0.0416,0.1197,0.0094,0.457
36,SDSSXCS-2789,0.7108,0.024,1.3874,0.0414,0.1199,0.0094,0.627
37,SDSSXCS-2836,0.7107,0.0234,1.3957,0.0409,0.1172,0.0092,-1.639
38,SDSSXCS-286,0.7114,0.024,1.3883,0.0414,0.1198,0.0094,0.572
39,SDSSXCS-29,0.7078,0.0243,1.3843,0.0413,0.1195,0.0094,0.328
40,SDSSXCS-290,0.7119,0.0238,1.3901,0.0415,0.1196,0.0094,0.357
41,SDSSXCS-298,0.7105,0.0239,1.386,0.0416,0.1198,0.0094,0.565
42,SDSSXCS-309,0.7102,0.0239,1.383,0.0412,0.1193,0.0094,0.111
43,SDSSXCS-31,0.7064,0.024,1.3819,0.0411,0.1189,0.0094,-0.234
44,SDSSXCS-314,0.7114,0.0237,1.3837,0.0413,0.1193,0.0094,0.163
45,SDSSXCS-32,0.7085,0.0243,1.3895,0.0416,0.1196,0.0094,0.397
46,SDSSXCS-325,0.714,0.0238,1.3812,0.0408,0.1184,0.0093,-0.606
47,SDSSXCS-3312,0.7113,0.024,1.3859,0.0414,0.1197,0.0094,0.504
48,SDSSXCS-34,0.7114,0.024,1.3858,0.0414,0.1197,0.0094,0.502
49,SDSSXCS-3672,0.7113,0.0239,1.3864,0.0415,0.1198,0.0094,0.52
50,SDSSXCS-382,0.7097,0.024,1.3889,0.0415,0.1198,0.0094,0.517
51,SDSSXCS-395,0.7106,0.0238,1.3852,0.0413,0.1197,0.0094,0.47
52,SDSSXCS-4003,0.7101,0.0239,1.3898,0.0415,0.1196,0.0094,0.399
53,SDSSXCS-41,0.7093,0.024,1.3848,0.0414,0.1197,0.0094,0.436
