dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
SDSSXCS-1018,0.7463,0.0352,2.906,0.1301,0.184,0.0133,0.513
SDSSXCS-10401,0.751,0.0355,2.8914,0.1291,0.1832,0.0132,0.096
SDSSXCS-110,0.7463,0.035,2.9149,0.1293,0.1836,0.0133,0.322
SDSSXCS-11154,0.7457,0.0351,2.9066,0.1294,0.1839,0.0133,0.497
SDSSXCS-1131,0.7475,0.0351,2.899,0.1288,0.1835,0.0133,0.288
SDSSXCS-11331,0.7513,0.0346,2.9245,0.128,0.1805,0.013,-1.388
SDSSXCS-1137,0.7486,0.0352,2.9123,0.1283,0.1835,0.0133,0.289
SDSSXCS-11881,0.7469,0.0356,2.9047,0.13,0.1839,0.0133,0.477
SDSSXCS-120,0.746,0.035,2.9062,0.1295,0.1839,0.0133,0.499
SDSSXCS-123,0.7458,0.0351,2.9041,0.1291,0.1839,0.0133,0.473
SDSSXCS-124,0.7451,0.0352,2.9054,0.1286,0.1839,0.0133,0.476
SDSSXCS-13,0.7439,0.0351,2.9028,0.1294,0.1836,0.0133,0.317
SDSSXCS-134,0.7452,0.0352,2.9063,0.1287,0.184,0.0133,0.516
SDSSXCS-137,0.7445,0.0352,2.9168,0.13,0.1836,0.0133,0.339
SDSSXCS-14,0.7461,0.0354,2.9083,0.1293,0.184,0.0133,0.531
SDSSXCS-147,0.7451,0.0351,2.9023,0.1288,0.1837,0.0133,0.35
SDSSXCS-15,0.7481,0.0353,2.8993,0.1292,0.1837,0.0133,0.357
SDSSXCS-155,0.7422,0.0349,2.8943,0.1276,0.1819,0.0132,-0.596
SDSSXCS-15984,0.7462,0.0353,2.909,0.1295,0.1839,0.0133,0.502
SDSSXCS-1628,0.7494,0.0348,2.9202,0.1287,0.1821,0.0131,-0.503
SDSSXCS-16286,0.7569,0.0353,2.8776,0.1276,0.1818,0.0131,-0.677
SDSSXCS-1645,0.7463,0.035,2.9036,0.1291,0.1838,0.0133,0.449
SDSSXCS-165,0.7425,0.0356,2.9194,0.1307,0.1837,0.0133,0.372
SDSSXCS-176,0.7374,0.0347,2.9417,0.129,0.1802,0.013,-1.525
SDSSXCS-1884,0.7461,0.0351,2.9072,0.1291,0.184,0.0133,0.51
SDSSXCS-189,0.7434,0.0352,2.9026,0.1286,0.1836,0.0133,0.291
SDSSXCS-19,0.7446,0.0351,2.902,0.1286,0.1836,0.0133,0.315
SDSSXCS-19467,0.7469,0.035,2.8962,0.1288,0.1832,0.0132,0.11
SDSSXCS-2,0.7425,0.0355,2.9041,0.1286,0.1836,0.0132,0.319
SDSSXCS-2032,0.7479,0.0349,2.9171,0.129,0.183,0.0133,0.006
SDSSXCS-209,0.7448,0.0351,2.904,0.1289,0.1838,0.0133,0.442
SDSSXCS-21,0.7431,0.0349,2.8932,0.1273,0.1819,0.0132,-0.603
SDSSXCS-210,0.7443,0.0349,2.9197,0.1294,0.1832,0.0132,0.123
SDSSXCS-212,0.7442,0.0351,2.9172,0.1296,0.1836,0.0133,0.339
SDSSXCS-22,0.7477,0.0352,2.9131,0.1293,0.1836,0.0133,0.325
SDSSXCS-226,0.7463,0.0351,2.9083,0.1292,0.184,0.0133,0.517
SDSSXCS-2282,0.7546,0.0348,2.8758,0.1264,0.1809,0.0131,-1.174
SDSSXCS-2288,0.753,0.035,2.918,0.128,0.1816,0.0132,-0.782
SDSSXCS-23,0.7488,0.0347,2.8887,0.1275,0.1823,0.0132,-0.415
SDSSXCS-2347,0.7463,0.0351,2.9064,0.1297,0.1839,0.0133,0.48
SDSSXCS-236,0.7465,0.035,2.897,0.1289,0.1833,0.0132,0.142
SDSSXCS-239,0.7467,0.0351,2.9112,0.1295,0.1838,0.0133,0.441
SDSSXCS-2789,0.7454,0.0351,2.914,0.1296,0.1837,0.0133,0.389
SDSSXCS-2836,0.7448,0.0342,2.9376,0.127,0.1784,0.0129,-2.5
SDSSXCS-286,0.7459,0.0352,2.9085,0.1292,0.1839,0.0133,0.503
SDSSXCS-29,0.7436,0.0356,2.9057,0.1289,0.1838,0.0133,0.437
SDSSXCS-290,0.7461,0.0352,2.9087,0.1293,0.184,0.0133,0.526
SDSSXCS-298,0.7455,0.0351,2.9043,0.1292,0.1838,0.0133,0.446
