dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
SDSSXCS-1018,0.8274,0.0327,3.7981,0.137,0.1559,0.0115,0.399
SDSSXCS-10401,0.8323,0.0328,3.7901,0.1359,0.155,0.0115,-0.174
SDSSXCS-110,0.8263,0.0325,3.8138,0.1373,0.1558,0.0116,0.387
SDSSXCS-11154,0.8261,0.0325,3.8062,0.1368,0.1561,0.0116,0.559
SDSSXCS-1131,0.829,0.0325,3.7913,0.1357,0.1551,0.0115,-0.074
SDSSXCS-11331,0.8286,0.0323,3.8244,0.136,0.1543,0.0115,-0.625
SDSSXCS-1137,0.8279,0.0327,3.8128,0.1372,0.1559,0.0115,0.394
SDSSXCS-11881,0.8396,0.0328,3.779,0.1342,0.1533,0.0114,-1.272
SDSSXCS-120,0.8261,0.0326,3.8091,0.1374,0.1561,0.0116,0.572
SDSSXCS-123,0.8259,0.0325,3.8028,0.1368,0.1561,0.0116,0.53
SDSSXCS-124,0.8261,0.0328,3.8055,0.1372,0.1561,0.0116,0.571
SDSSXCS-13,0.8243,0.0327,3.7987,0.1371,0.1559,0.0115,0.431
SDSSXCS-134,0.8265,0.0329,3.8071,0.1374,0.1561,0.0116,0.557
SDSSXCS-137,0.8241,0.0326,3.8202,0.1369,0.1553,0.0115,0.044
SDSSXCS-14,0.8259,0.0328,3.8055,0.1371,0.1561,0.0116,0.562
SDSSXCS-147,0.8255,0.0327,3.801,0.1372,0.156,0.0116,0.515
SDSSXCS-15,0.8282,0.0328,3.7978,0.1365,0.1558,0.0116,0.356
SDSSXCS-155,0.823,0.0327,3.7929,0.1361,0.1553,0.0115,0.052
SDSSXCS-15984,0.8262,0.0327,3.8067,0.1368,0.1562,0.0116,0.586
SDSSXCS-1628,0.8271,0.0325,3.8166,0.1368,0.1556,0.0115,0.201
SDSSXCS-16286,0.8375,0.0325,3.7816,0.1343,0.1536,0.0113,-1.068
SDSSXCS-1645,0.826,0.0326,3.8035,0.1373,0.1561,0.0116,0.574
SDSSXCS-165,0.8233,0.0331,3.8131,0.1374,0.1559,0.0116,0.45
SDSSXCS-176,0.8172,0.0321,3.8373,0.135,0.152,0.0113,-2.094
SDSSXCS-1884,0.8259,0.0327,3.8062,0.1372,0.1561,0.0116,0.564
SDSSXCS-189,0.8258,0.0329,3.8049,0.1369,0.1561,0.0116,0.555
SDSSXCS-19,0.8254,0.0327,3.8018,0.1369,0.1561,0.0115,0.521
