dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
SDSSXCS-1018,0.6592,0.0299,1.4062,0.0875,0.1773,0.0129,0.519
SDSSXCS-10401,0.6649,0.0301,1.3886,0.0873,0.1763,0.0128,-0.063
SDSSXCS-110,0.6595,0.0296,1.4107,0.0868,0.1768,0.0128,0.229
SDSSXCS-11154,0.6592,0.0297,1.405,0.0868,0.1773,0.0129,0.484
SDSSXCS-1131,0.6601,0.0297,1.4021,0.087,0.177,0.0129,0.355
SDSSXCS-11331,0.6616,0.0295,1.4094,0.0862,0.1754,0.0127,-0.552
SDSSXCS-1137,0.6608,0.0299,1.4059,0.0867,0.1771,0.0129,0.406
SDSSXCS-11881,0.6607,0.0302,1.4019,0.0884,0.1772,0.0129,0.465
SDSSXCS-120,0.659,0.0298,1.4062,0.0874,0.1774,0.0129,0.538
SDSSXCS-123,0.659,0.0297,1.4055,0.0867,0.1773,0.0129,0.507
SDSSXCS-124,0.6584,0.0298,1.4073,0.0867,0.1773,0.0129,0.51
SDSSXCS-13,0.6574,0.0299,1.4076,0.087,0.1771,0.0129,0.377
SDSSXCS-134,0.6585,0.03,1.4077,0.0873,0.1774,0.0129,0.547
SDSSXCS-137,0.6578,0.0297,1.4133,0.0878,0.1771,0.0129,0.416
SDSSXCS-14,0.6594,0.03,1.4065,0.0869,0.1773,0.0129,0.523
SDSSXCS-147,0.6585,0.0296,1.406,0.0865,0.1772,0.0129,0.447
SDSSXCS-15,0.6615,0.0298,1.3981,0.0871,0.177,0.0128,0.32
SDSSXCS-155,0.656,0.0297,1.4072,0.0864,0.176,0.0128,-0.212
SDSSXCS-15984,0.6594,0.0298,1.4077,0.087,0.1773,0.0129,0.526
SDSSXCS-1628,0.6608,0.0296,1.4093,0.0866,0.1763,0.0128,-0.074
SDSSXCS-16286,0.6689,0.0299,1.3773,0.0857,0.1751,0.0127,-0.753
SDSSXCS-1645,0.6591,0.0298,1.4058,0.0873,0.1773,0.0129,0.506
SDSSXCS-165,0.656,0.03,1.4175,0.0889,0.177,0.0129,0.34
