dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
SDSSXCS-1018,0.7126,0.0288,1.6722,0.0855,0.159,0.0118,0.382
SDSSXCS-10401,0.7184,0.029,1.6555,0.0848,0.1577,0.0117,-0.413
SDSSXCS-110,0.7122,0.0288,1.6804,0.0852,0.1588,0.0118,0.25
SDSSXCS-11154,0.7117,0.0288,1.6759,0.0852,0.1592,0.0118,0.507
SDSSXCS-1131,0.7137,0.0288,1.6678,0.0849,0.1585,0.0118,0.083
SDSSXCS-11331,0.7126,0.0287,1.681,0.085,0.1584,0.0118,0.005
SDSSXCS-1137,0.7127,0.0289,1.6768,0.0851,0.1591,0.0118,0.457
SDSSXCS-11881,0.7234,0.0289,1.6427,0.0838,0.1564,0.0116,-1.24
SDSSXCS-120,0.7117,0.0289,1.6773,0.0856,0.1592,0.0118,0.505
SDSSXCS-123,0.7116,0.0288,1.6752,0.0854,0.1591,0.0118,0.489
SDSSXCS-124,0.7116,0.0289,1.6766,0.0848,0.1592,0.0118,0.521
SDSSXCS-13,0.7104,0.0289,1.6763,0.085,0.159,0.0118,0.394
SDSSXCS-134,0.7118,0.029,1.6767,0.0853,0.1592,0.0118,0.527
SDSSXCS-137,0.7101,0.0286,1.6853,0.0856,0.1586,0.0117,0.143
SDSSXCS-14,0.7117,0.029,1.6765,0.0849,0.1591,0.0118,0.489
SDSSXCS-147,0.7114,0.0289,1.676,0.0852,0.1591,0.0118,0.481
SDSSXCS-15,0.7142,0.0289,1.6678,0.0855,0.1587,0.0118,0.207
SDSSXCS-155,0.7096,0.029,1.6767,0.0849,0.1588,0.0118,0.257
SDSSXCS-15984,0.712,0.029,1.6767,0.0852,0.1592,0.0118,0.512
SDSSXCS-1628,0.7124,0.0288,1.6794,0.0853,0.1588,0.0118,0.262
SDSSXCS-16286,0.7228,0.0288,1.6438,0.0833,0.1563,0.0115,-1.284
SDSSXCS-1645,0.712,0.0288,1.6754,0.0852,0.1591,0.0118,0.491
SDSSXCS-165,0.7085,0.0293,1.6873,0.0873,0.1589,0.0118,0.324
SDSSXCS-176,0.7041,0.0283,1.7052,0.0854,0.1551,0.0115,-2.089
SDSSXCS-1884,0.7119,0.0288,1.6764,0.0853,0.1591,0.0118,0.487
SDSSXCS-189,0.7116,0.0291,1.6767,0.0851,0.1592,0.0118,0.516
SDSSXCS-19,0.7115,0.0289,1.6759,0.0851,0.1592,0.0118,0.504
SDSSXCS-19467,0.7129,0.0287,1.6686,0.0847,0.1583,0.0118,-0.026
SDSSXCS-2,0.711,0.0292,1.6774,0.0851,0.1591,0.0118,0.487
SDSSXCS-2032,0.7119,0.0287,1.6785,0.0848,0.1591,0.0118,0.462
SDSSXCS-209,0.7116,0.029,1.6761,0.0848,0.1592,0.0118,0.508
SDSSXCS-21,0.7096,0.0287,1.6748,0.0843,0.1584,0.0118,0.034
SDSSXCS-210,0.7103,0.0286,1.6853,0.0853,0.1583,0.0117,-0.055
SDSSXCS-212,0.7102,0.0289,1.6839,0.0859,0.1588,0.0117,0.299
SDSSXCS-22,0.7125,0.0289,1.6774,0.0853,0.1591,0.0118,0.445
SDSSXCS-226,0.7126,0.0288,1.6767,0.085,0.1591,0.0118,0.438
SDSSXCS-2282,0.7223,0.0283,1.6409,0.0821,0.1543,0.0115,-2.596
SDSSXCS-2288,0.7133,0.0288,1.6776,0.0847,0.1588,0.0118,0.271
SDSSXCS-23,0.7141,0.0286,1.6636,0.0841,0.1575,0.0117,-0.521
SDSSXCS-2347,0.7116,0.0288,1.6774,0.0855,0.1591,0.0118,0.493
SDSSXCS-236,0.7118,0.0289,1.6731,0.0853,0.1589,0.0118,0.342
SDSSXCS-239,0.7123,0.0289,1.6776,0.0852,0.1591,0.0118,0.476
SDSSXCS-2789,0.7112,0.0287,1.681,0.0854,0.159,0.0118,0.389
SDSSXCS-2836,0.7096,0.0283,1.6929,0.0846,0.1555,0.0115,-1.841
SDSSXCS-286,0.7129,0.0289,1.6766,0.0849,0.159,0.0118,0.42
SDSSXCS-29,0.711,0.0293,1.6769,0.0852,0.1591,0.0118,0.486
SDSSXCS-290,0.7119,0.0288,1.6775,0.0852,0.1592,0.0118,0.507
SDSSXCS-298,0.7118,0.0288,1.6761,0.085,0.1592,0.0118,0.505
SDSSXCS-2984,0.7134,0.029,1.6699,0.0857,0.1589,0.0118,0.318
SDSSXCS-3,0.7108,0.0291,1.6768,0.0851,0.1592,0.0118,0.509
SDSSXCS-309,0.7127,0.0284,1.6653,0.0837,0.1572,0.0117,-0.733
SDSSXCS-31,0.7089,0.0291,1.6785,0.0851,0.1589,0.0118,0.314
SDSSXCS-314,0.7111,0.0288,1.6735,0.085,0.1587,0.0118,0.223
SDSSXCS-32,0.7097,0.0292,1.6834,0.0868,0.159,0.0118,0.395
SDSSXCS-325,0.7139,0.0288,1.6673,0.0851,0.1585,0.0118,0.095
SDSSXCS-3312,0.7124,0.029,1.6745,0.0859,0.1592,0.0118,0.505
SDSSXCS-34,0.713,0.0287,1.6684,0.0847,0.1583,0.0118,-0.036
SDSSXCS-3672,0.7127,0.0289,1.6716,0.0854,0.1589,0.0118,0.343
SDSSXCS-382,0.7061,0.0285,1.6992,0.0858,0.1564,0.0116,-1.258
SDSSXCS-395,0.7116,0.0289,1.6761,0.0853,0.1592,0.0118,0.497
SDSSXCS-4003,0.7096,0.0286,1.6887,0.0854,0.1578,0.0117,-0.351
SDSSXCS-408,0.7112,0.0288,1.6766,0.0851,0.1592,0.0118,0.503
SDSSXCS-41,0.7107,0.029,1.6771,0.0852,0.1591,0.0118,0.476
SDSSXCS-43,0.7136,0.0291,1.6753,0.0848,0.159,0.0118,0.401
SDSSXCS-455,0.7122,0.0289,1.6778,0.0854,0.1591,0.0118,0.47
SDSSXCS-457,0.709,0.0285,1.6732,0.084,0.1574,0.0117,-0.635
SDSSXCS-480,0.7125,0.0288,1.6765,0.085,0.1591,0.0118,0.484
SDSSXCS-487,0.7132,0.0289,1.6767,0.0848,0.159,0.0118,0.376
SDSSXCS-5,0.712,0.0288,1.6774,0.0853,0.1592,0.0118,0.528
SDSSXCS-5020,0.7066,0.0281,1.7006,0.0845,0.1548,0.0115,-2.271
SDSSXCS-51,0.7106,0.0289,1.6758,0.0849,0.159,0.0118,0.399
SDSSXCS-5159,0.6906,0.0259,1.7469,0.0801,0.1396,0.0105,-11.86
