,dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
0,SDSSXCS-1018,0.659,0.1029,55.1949,3.9718,0.2459,0.0201,-21.764
1,SDSSXCS-10401,0.628,0.1029,55.2544,3.9082,0.2419,0.0199,-23.015
2,SDSSXCS-110,0.6555,0.1019,54.8319,3.9121,0.2434,0.02,-22.541
3,SDSSXCS-11154,0.6631,0.104,55.3033,3.9669,0.2461,0.0201,-21.699
4,SDSSXCS-1131,0.6568,0.1024,55.4013,3.9531,0.2448,0.02,-22.09
5,SDSSXCS-11331,0.6569,0.104,55.3308,3.9723,0.2463,0.0201,-21.618
6,SDSSXCS-1137,0.6582,0.1026,55.2735,3.9769,0.2463,0.0201,-21.623
7,SDSSXCS-11881,0.647,0.1022,55.4134,3.9325,0.2438,0.0198,-22.416
8,SDSSXCS-120,0.6587,0.1029,55.4357,4.0004,0.2461,0.0201,-21.671
9,SDSSXCS-123,0.658,0.1029,55.412,4.0056,0.2462,0.0202,-21.654
10,SDSSXCS-124,0.6535,0.1029,55.0887,3.9728,0.246,0.0201,-21.728
11,SDSSXCS-13,0.6606,0.1034,55.4695,4.0183,0.2458,0.0201,-21.769
12,SDSSXCS-134,0.6552,0.1033,55.1743,3.9951,0.2463,0.0202,-21.628
13,SDSSXCS-137,0.658,0.1029,55.433,4.0031,0.2461,0.0201,-21.674
14,SDSSXCS-14,0.6649,0.1045,55.619,4.0753,0.246,0.0201,-21.729
15,SDSSXCS-147,0.6524,0.1029,54.9907,3.965,0.2455,0.0201,-21.868
16,SDSSXCS-15,0.6627,0.1036,55.5958,4.0281,0.2457,0.0201,-21.804
17,SDSSXCS-155,0.6435,0.102,54.4864,3.8912,0.2423,0.0199,-22.899
18,SDSSXCS-15984,0.6776,0.1028,55.2676,3.9224,0.2428,0.0199,-22.732
19,SDSSXCS-1628,0.6566,0.1032,55.3122,3.978,0.2462,0.0201,-21.647
20,SDSSXCS-16286,0.6304,0.103,55.177,3.9153,0.243,0.0198,-22.668
21,SDSSXCS-1645,0.6634,0.1021,55.0511,3.9235,0.2441,0.02,-22.331
22,SDSSXCS-165,0.6582,0.1026,55.4738,3.9998,0.2459,0.0201,-21.736
23,SDSSXCS-176,0.6598,0.103,55.5691,4.0182,0.2457,0.0201,-21.815
24,SDSSXCS-1884,0.6551,0.1029,55.4123,3.9729,0.2457,0.0201,-21.813
25,SDSSXCS-189,0.6484,0.1027,54.7414,3.9313,0.2441,0.02,-22.307
26,SDSSXCS-19,0.6552,0.1041,55.2186,4.0261,0.2463,0.0201,-21.636
