,dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
0,SDSSXCS-2,2.6403,0.8386,1.0718,0.1745,0.1867,0.0677,29.847
1,SDSSXCS-309,2.1539,0.499,1.0462,0.1885,0.2062,0.0715,43.403
2,SDSSXCS-212,2.0649,0.4917,1.1153,0.1993,0.1963,0.0681,36.543
3,SDSSXCS-586,2.2428,0.5257,1.0419,0.1905,0.2007,0.0692,39.623
4,SDSSXCS-1131,2.1968,0.4839,1.0671,0.1907,0.2019,0.0701,40.403
5,SDSSXCS-7783,2.301,0.4506,0.9905,0.1648,0.1827,0.0639,27.079
6,SDSSXCS-2288,2.1999,0.4214,0.9854,0.152,0.1748,0.0609,21.605
7,SDSSXCS-11154,2.1839,0.4914,1.0434,0.191,0.2055,0.0717,42.967
8,SDSSXCS-8060,2.0163,0.368,1.1702,0.1569,0.1483,0.0522,3.128
9,SDSSXCS-123,2.1764,0.5007,1.0621,0.1908,0.207,0.0718,44.012
