dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
SDSSXCS-1018,1.9715,0.1295,2.6451,0.1492,0.2263,0.0171,0.539
SDSSXCS-10401,2.0165,0.1323,2.6046,0.1471,0.2235,0.017,-0.69
SDSSXCS-110,1.9813,0.1293,2.655,0.1488,0.2247,0.0171,-0.174
SDSSXCS-11154,1.9746,0.129,2.6317,0.1478,0.2255,0.0171,0.208
SDSSXCS-1131,1.9726,0.1296,2.6481,0.149,0.2258,0.0171,0.339
SDSSXCS-11331,1.9921,0.1297,2.6156,0.1467,0.2238,0.017,-0.586
SDSSXCS-1137,1.9667,0.1296,2.634,0.1477,0.2255,0.0171,0.204
SDSSXCS-11881,1.9733,0.1316,2.642,0.1494,0.226,0.0171,0.419
SDSSXCS-120,1.9713,0.1297,2.6418,0.1489,0.2264,0.0171,0.571
SDSSXCS-123,1.9712,0.1299,2.64,0.1487,0.2263,0.0171,0.536
SDSSXCS-124,1.9655,0.1303,2.6392,0.1478,0.2261,0.0171,0.469
SDSSXCS-13,1.9652,0.1305,2.639,0.1481,0.2261,0.017,0.441
SDSSXCS-134,1.9672,0.1304,2.6399,0.1479,0.2262,0.0171,0.489
SDSSXCS-137,1.9684,0.1298,2.649,0.1497,0.2263,0.0171,0.547
SDSSXCS-14,1.9645,0.1306,2.6403,0.1483,0.2262,0.0171,0.48
SDSSXCS-147,1.9743,0.1306,2.6448,0.1485,0.2263,0.0171,0.545
SDSSXCS-15,1.9819,0.1313,2.6313,0.1489,0.2259,0.0171,0.351
SDSSXCS-155,1.9745,0.1316,2.6438,0.1483,0.2263,0.0171,0.527
SDSSXCS-15984,1.9682,0.1302,2.6416,0.1486,0.2263,0.0171,0.55
SDSSXCS-1628,1.9782,0.1296,2.6279,0.1478,0.2253,0.0171,0.079
SDSSXCS-16286,2.0129,0.1312,2.6095,0.1468,0.2239,0.0169,-0.523
SDSSXCS-1645,1.9719,0.1298,2.6476,0.1491,0.2262,0.0171,0.497
SDSSXCS-165,1.9504,0.1294,2.6711,0.1491,0.2238,0.0169,-0.561
SDSSXCS-176,1.947,0.1273,2.6843,0.1482,0.2203,0.0167,-2.119
SDSSXCS-1884,1.9714,0.1295,2.6475,0.1486,0.226,0.0171,0.417
SDSSXCS-189,1.9674,0.1307,2.6414,0.1481,0.2262,0.0171,0.498
SDSSXCS-19,1.9728,0.1302,2.6441,0.1485,0.2263,0.0171,0.528
