,dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
0,SDSSXCS-1018,1.913,0.1343,2.6567,0.1558,0.2331,0.0182,0.565
1,SDSSXCS-10401,1.958,0.1383,2.6163,0.1539,0.2304,0.0182,-0.583
2,SDSSXCS-110,1.9201,0.1342,2.6635,0.1544,0.2321,0.0182,0.163
3,SDSSXCS-11154,1.9155,0.1344,2.6448,0.1547,0.2327,0.0182,0.385
4,SDSSXCS-1131,1.9157,0.1344,2.6579,0.1554,0.2325,0.0182,0.31
5,SDSSXCS-11331,1.9252,0.1344,2.6357,0.1541,0.2318,0.0181,0.016
6,SDSSXCS-1137,1.9088,0.1343,2.6476,0.1542,0.2327,0.0181,0.405
7,SDSSXCS-11881,1.972,0.1376,2.609,0.1526,0.2297,0.018,-0.902
8,SDSSXCS-120,1.9138,0.1347,2.6499,0.1554,0.2331,0.0182,0.554
9,SDSSXCS-123,1.9141,0.1345,2.6473,0.1549,0.2329,0.0182,0.477
10,SDSSXCS-124,1.9067,0.1345,2.6491,0.1545,0.2328,0.0182,0.43
11,SDSSXCS-13,1.9061,0.1348,2.6481,0.1541,0.2327,0.0182,0.407
12,SDSSXCS-134,1.9079,0.1347,2.6482,0.1544,0.2328,0.0182,0.428
13,SDSSXCS-137,1.9107,0.1351,2.6591,0.1561,0.2331,0.0181,0.574
14,SDSSXCS-14,1.9061,0.1352,2.6496,0.1539,0.2328,0.0182,0.46
15,SDSSXCS-147,1.9154,0.1348,2.6546,0.1549,0.2331,0.0182,0.569
16,SDSSXCS-15,1.925,0.1359,2.642,0.1554,0.2326,0.0182,0.368
17,SDSSXCS-155,1.9146,0.1368,2.6531,0.1549,0.233,0.0182,0.542
18,SDSSXCS-15984,1.9118,0.135,2.6525,0.1549,0.2331,0.0182,0.588
19,SDSSXCS-1628,1.9138,0.1345,2.6526,0.1553,0.2332,0.0182,0.615
20,SDSSXCS-16286,1.9518,0.1367,2.6222,0.1537,0.2309,0.0181,-0.366
21,SDSSXCS-1645,1.9137,0.1346,2.6565,0.1556,0.2331,0.0182,0.559
22,SDSSXCS-165,1.8941,0.1335,2.6838,0.156,0.2301,0.0179,-0.736
23,SDSSXCS-176,1.8888,0.1322,2.6924,0.1548,0.2284,0.0179,-1.467
24,SDSSXCS-1884,1.9149,0.1346,2.6554,0.1553,0.2329,0.0182,0.477
25,SDSSXCS-189,1.9096,0.135,2.6495,0.1544,0.2328,0.0182,0.467
26,SDSSXCS-19,1.9154,0.1354,2.6552,0.1547,0.2331,0.0182,0.568
27,SDSSXCS-19467,1.9255,0.1335,2.664,0.1546,0.2313,0.0181,-0.202
28,SDSSXCS-2,1.9113,0.1378,2.6534,0.1547,0.2331,0.0182,0.573
29,SDSSXCS-2032,1.9148,0.1346,2.6482,0.1553,0.233,0.0182,0.512
30,SDSSXCS-209,1.9145,0.1355,2.6533,0.1548,0.2331,0.0182,0.569
31,SDSSXCS-21,1.9056,0.1344,2.6436,0.1533,0.232,0.0181,0.086
32,SDSSXCS-210,1.9128,0.1349,2.6581,0.1561,0.2327,0.0182,0.407
33,SDSSXCS-212,1.9081,0.1345,2.6663,0.1563,0.2326,0.0182,0.346
34,SDSSXCS-22,1.9126,0.1349,2.6535,0.155,0.2332,0.0182,0.63
35,SDSSXCS-226,1.9226,0.1353,2.6575,0.155,0.2326,0.0182,0.358
36,SDSSXCS-2282,1.9651,0.1336,2.6067,0.151,0.2278,0.0178,-1.73
37,SDSSXCS-2288,1.9136,0.1343,2.6436,0.1542,0.2325,0.0182,0.321
38,SDSSXCS-23,1.9236,0.1342,2.6362,0.1545,0.2318,0.0182,0.016
39,SDSSXCS-2347,1.9111,0.1344,2.6623,0.1562,0.2328,0.0182,0.44
40,SDSSXCS-236,1.9134,0.1346,2.6536,0.1549,0.2332,0.0182,0.609
41,SDSSXCS-239,1.9126,0.1344,2.652,0.1555,0.2331,0.0182,0.58
42,SDSSXCS-2789,1.9146,0.1338,2.6655,0.1552,0.2322,0.0181,0.178
43,SDSSXCS-2836,1.9096,0.1331,2.6796,0.1556,0.2297,0.018,-0.912
44,SDSSXCS-286,1.9202,0.1355,2.6557,0.1545,0.2328,0.0182,0.433
45,SDSSXCS-29,1.9163,0.1385,2.6531,0.1548,0.2329,0.0182,0.499
46,SDSSXCS-290,1.9133,0.1344,2.6521,0.1551,0.2331,0.0182,0.566
47,SDSSXCS-298,1.9133,0.1344,2.6449,0.1546,0.2327,0.0182,0.395
48,SDSSXCS-2984,1.9141,0.1351,2.6548,0.1554,0.233,0.0182,0.537
49,SDSSXCS-3,1.9069,0.1359,2.6501,0.1546,0.2329,0.0182,0.508
50,SDSSXCS-309,1.9151,0.1341,2.641,0.1539,0.232,0.0181,0.102
51,SDSSXCS-31,1.8991,0.1354,2.6487,0.1539,0.2325,0.0182,0.313
52,SDSSXCS-314,1.9118,0.1345,2.6506,0.1548,0.2331,0.0182,0.562
53,SDSSXCS-32,1.896,0.1344,2.679,0.1556,0.231,0.018,-0.327
54,SDSSXCS-325,1.9251,0.1351,2.6387,0.1547,0.2323,0.0182,0.22
55,SDSSXCS-3312,1.9269,0.1309,2.6773,0.1529,0.2275,0.0176,-1.831
56,SDSSXCS-34,1.9259,0.1342,2.635,0.1535,0.2316,0.0181,-0.081
57,SDSSXCS-3672,1.9223,0.1352,2.6433,0.1552,0.2325,0.0182,0.334
58,SDSSXCS-382,1.895,0.133,2.6862,0.1553,0.2296,0.018,-0.929
59,SDSSXCS-395,1.9129,0.1344,2.6494,0.1543,0.2329,0.0182,0.504
60,SDSSXCS-4003,1.9069,0.1342,2.6697,0.156,0.2321,0.0182,0.156
61,SDSSXCS-408,1.9109,0.1352,2.652,0.1549,0.2332,0.0182,0.625
62,SDSSXCS-41,1.9082,0.1354,2.6507,0.1545,0.2331,0.0182,0.56
63,SDSSXCS-43,1.9061,0.1355,2.6508,0.1542,0.233,0.0182,0.529
64,SDSSXCS-455,1.914,0.1344,2.6546,0.1548,0.2331,0.0182,0.59
65,SDSSXCS-457,1.9058,0.1333,2.6375,0.1526,0.2305,0.018,-0.541
66,SDSSXCS-480,1.9222,0.1356,2.6563,0.1548,0.2327,0.0182,0.406
67,SDSSXCS-487,1.9217,0.1348,2.6577,0.1549,0.2326,0.0182,0.371
68,SDSSXCS-5,1.9134,0.1348,2.653,0.1552,0.2332,0.0182,0.625
69,SDSSXCS-5020,1.9047,0.1311,2.6899,0.1534,0.2267,0.0177,-2.193
70,SDSSXCS-51,1.9118,0.1354,2.6526,0.1551,0.2331,0.0182,0.567
71,SDSSXCS-5159,1.9136,0.1128,2.7362,0.1332,0.1907,0.0156,-17.703
72,SDSSXCS-5225,1.9216,0.1349,2.6422,0.1552,0.2326,0.0182,0.368
73,SDSSXCS-55,1.9123,0.1347,2.6533,0.1551,0.2332,0.0182,0.603
74,SDSSXCS-5527,1.9089,0.1345,2.6651,0.1559,0.2327,0.0182,0.412
75,SDSSXCS-572,1.9148,0.135,2.6489,0.1552,0.2331,0.0182,0.562
76,SDSSXCS-574,1.9144,0.1343,2.6617,0.1556,0.2328,0.0182,0.444
77,SDSSXCS-575,1.9113,0.1346,2.66,0.1562,0.233,0.0182,0.541
78,SDSSXCS-5830,1.923,0.1369,2.6462,0.1562,0.2328,0.0182,0.432
79,SDSSXCS-586,1.9401,0.1345,2.6269,0.1528,0.2309,0.018,-0.382
80,SDSSXCS-593,1.9279,0.1357,2.637,0.1552,0.2322,0.0182,0.194
81,SDSSXCS-6,1.9063,0.1351,2.6502,0.1546,0.2328,0.0182,0.444
82,SDSSXCS-64824,1.9279,0.137,2.6405,0.1551,0.2325,0.0182,0.313
83,SDSSXCS-65,1.9103,0.1356,2.6524,0.1543,0.2331,0.0182,0.558
84,SDSSXCS-667,1.9064,0.1345,2.6477,0.1545,0.2327,0.0182,0.4
85,SDSSXCS-68,1.9069,0.135,2.6484,0.1541,0.2327,0.0182,0.42
86,SDSSXCS-6955,1.9233,0.1359,2.6456,0.1552,0.2325,0.0182,0.328
87,SDSSXCS-71,1.9067,0.1345,2.6441,0.1537,0.2322,0.0182,0.182
88,SDSSXCS-7416,1.9374,0.1367,2.6333,0.1546,0.2319,0.0182,0.05
89,SDSSXCS-7432,1.9233,0.1345,2.64,0.1543,0.2324,0.0181,0.252
90,SDSSXCS-75,1.9457,0.134,2.6611,0.1534,0.2299,0.018,-0.812
91,SDSSXCS-765,1.9195,0.134,2.6391,0.154,0.232,0.0181,0.085
92,SDSSXCS-7783,1.9166,0.1347,2.6474,0.1553,0.233,0.0182,0.515
93,SDSSXCS-78,1.9123,0.1345,2.6508,0.1547,0.2331,0.0182,0.574
94,SDSSXCS-8060,1.8991,0.1276,2.7073,0.1495,0.2194,0.0174,-5.325
95,SDSSXCS-852,1.9139,0.1345,2.6551,0.155,0.2331,0.0182,0.569
96,SDSSXCS-890,1.9127,0.1341,2.6487,0.1544,0.2329,0.0182,0.476
97,SDSSXCS-893,1.9213,0.135,2.6584,0.1545,0.2325,0.0182,0.311
98,SDSSXCS-9,1.9154,0.1346,2.6511,0.1543,0.2328,0.0181,0.456
99,SDSSXCS-907,1.9122,0.1353,2.6522,0.1546,0.2331,0.0182,0.558
100,SDSSXCS-9258,1.8745,0.1345,2.6952,0.1561,0.2291,0.0178,-1.15
101,SDSSXCS-9313,1.9092,0.1351,2.6616,0.1566,0.233,0.0182,0.529
102,SDSSXCS-944,1.9115,0.1342,2.6617,0.1558,0.2328,0.0182,0.45
103,SDSSXCS-9803,1.9205,0.1339,2.638,0.154,0.2319,0.0181,0.063
