,dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
0,SDSSXCS-134,0.4035,0.1677,6.2671,1.3295,0.2281,0.0789,37.45
1,SDSSXCS-765,0.3709,0.1548,6.5244,1.3473,0.2145,0.0738,29.227
2,SDSSXCS-890,0.3968,0.1585,6.0158,1.2715,0.2239,0.0783,34.923
3,SDSSXCS-7783,0.421,0.1015,6.6902,0.8743,0.1263,0.0605,-23.885
4,SDSSXCS-212,0.3877,0.1823,6.2586,1.4662,0.2279,0.0786,37.302
5,SDSSXCS-189,0.3593,0.1494,5.8872,1.1124,0.2044,0.0731,23.136
6,SDSSXCS-176,0.4475,0.1933,5.8637,1.4017,0.222,0.0773,33.782
7,SDSSXCS-574,0.391,0.1603,6.307,1.3924,0.2269,0.0791,36.704
8,SDSSXCS-487,0.3707,0.1432,5.8279,1.0769,0.1982,0.0692,19.458
9,SDSSXCS-29,0.3789,0.1937,6.164,1.2769,0.2287,0.0793,37.812
