,dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
0,SDSSXCS-1018,0.3585,0.0424,3.394,0.2645,0.2297,0.02,50.747
1,SDSSXCS-10401,0.3456,0.0426,3.4941,0.2729,0.2267,0.0198,48.746
2,SDSSXCS-110,0.3559,0.0422,3.392,0.2612,0.2283,0.0199,49.837
3,SDSSXCS-11154,0.3576,0.0424,3.4266,0.2656,0.2297,0.02,50.748
4,SDSSXCS-1131,0.3567,0.0422,3.4202,0.2636,0.229,0.0199,50.301
5,SDSSXCS-11331,0.3629,0.0419,3.4273,0.2609,0.2263,0.0199,48.484
6,SDSSXCS-11881,0.3527,0.0423,3.4481,0.2664,0.2285,0.0198,49.973
7,SDSSXCS-123,0.3575,0.0425,3.4203,0.2669,0.2304,0.0201,51.217
8,SDSSXCS-124,0.3567,0.0427,3.4128,0.2646,0.2304,0.0201,51.205
9,SDSSXCS-13,0.3583,0.0426,3.4122,0.2648,0.2299,0.02,50.873
10,SDSSXCS-134,0.3573,0.0428,3.4125,0.2652,0.2304,0.0201,51.216
11,SDSSXCS-147,0.3551,0.0425,3.402,0.2629,0.2291,0.02,50.365
12,SDSSXCS-15,0.3651,0.0427,3.3564,0.2619,0.2282,0.0199,49.772
13,SDSSXCS-155,0.3506,0.042,3.4042,0.2605,0.2263,0.0198,48.499
14,SDSSXCS-15984,0.3578,0.0427,3.4135,0.2639,0.2305,0.0201,51.241
15,SDSSXCS-1628,0.3609,0.0422,3.4264,0.2636,0.228,0.0199,49.613
16,SDSSXCS-16286,0.3482,0.0425,3.4753,0.2701,0.2277,0.0198,49.424
17,SDSSXCS-1645,0.3584,0.0422,3.3824,0.2612,0.2283,0.0199,49.805
18,SDSSXCS-165,0.3665,0.0429,3.3524,0.2637,0.2284,0.02,49.853
19,SDSSXCS-176,0.361,0.0428,3.3843,0.2653,0.2298,0.02,50.823
20,SDSSXCS-1884,0.3568,0.0425,3.4227,0.2669,0.2301,0.02,51.023
21,SDSSXCS-189,0.3519,0.0424,3.4083,0.2626,0.2283,0.0199,49.834
22,SDSSXCS-19,0.3556,0.0426,3.4062,0.2631,0.2298,0.02,50.826
23,SDSSXCS-2,0.356,0.0433,3.4146,0.2656,0.2304,0.0201,51.179
24,SDSSXCS-2032,0.3593,0.0423,3.4224,0.2642,0.2296,0.02,50.683
25,SDSSXCS-209,0.3541,0.0428,3.4118,0.2647,0.2298,0.02,50.797
26,SDSSXCS-210,0.354,0.0422,3.4501,0.2666,0.2284,0.0199,49.91
27,SDSSXCS-212,0.3586,0.0426,3.4025,0.2661,0.2303,0.0201,51.141
28,SDSSXCS-22,0.3727,0.0384,3.4385,0.2403,0.2036,0.0185,33.603
29,SDSSXCS-226,0.3546,0.0424,3.4092,0.2623,0.2298,0.02,50.77
30,SDSSXCS-2282,0.3463,0.0425,3.4899,0.2712,0.2269,0.0198,48.922
31,SDSSXCS-2288,0.3616,0.0428,3.4134,0.2632,0.2297,0.02,50.728
32,SDSSXCS-23,0.3554,0.0425,3.435,0.2679,0.2298,0.02,50.804
