,dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
0,SDSSXCS-124,0.6078,0.2678,4.9599,0.9735,0.221,0.0768,8.363
1,SDSSXCS-7783,0.6235,0.205,5.1928,0.8956,0.1939,0.071,-4.918
2,SDSSXCS-2032,0.604,0.2243,5.0697,0.9558,0.2155,0.0761,5.679
3,SDSSXCS-314,0.5798,0.2262,4.8345,0.9385,0.2203,0.0774,8.022
4,SDSSXCS-574,0.5919,0.2221,4.7967,0.9119,0.2164,0.076,6.138
5,SDSSXCS-55,0.6132,0.2376,5.0201,0.9689,0.2189,0.0769,7.354
6,SDSSXCS-2836,0.6285,0.2187,4.693,0.8576,0.2058,0.0727,0.952
7,SDSSXCS-110,0.5883,0.1763,4.4675,0.6672,0.1634,0.0628,-19.85
8,SDSSXCS-212,0.6383,0.2416,4.7446,0.9245,0.2138,0.0759,4.848
9,SDSSXCS-2282,0.2867,0.2276,5.6205,0.8753,0.1626,0.0578,-20.248
