dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
SDSSXCS-1018,0.377,0.0372,2.8735,0.2293,0.2057,0.0169,0.12
SDSSXCS-10401,0.3638,0.0375,2.9735,0.2395,0.2036,0.0168,-0.899
SDSSXCS-110,0.3741,0.0369,2.8802,0.2273,0.2045,0.0169,-0.471
SDSSXCS-11154,0.3749,0.0374,2.9087,0.2325,0.206,0.0169,0.268
SDSSXCS-1131,0.3746,0.0371,2.9002,0.2302,0.2056,0.0168,0.083
SDSSXCS-11331,0.3779,0.0368,2.9063,0.2286,0.2033,0.0168,-1.02
SDSSXCS-1137,0.3796,0.0373,2.8902,0.2291,0.2054,0.0168,-0.032
SDSSXCS-11881,0.3709,0.0374,2.9246,0.2342,0.2053,0.0168,-0.049
SDSSXCS-120,0.375,0.0373,2.8954,0.2311,0.2067,0.017,0.637
SDSSXCS-123,0.3752,0.0372,2.8997,0.2314,0.2067,0.017,0.605
SDSSXCS-124,0.3746,0.0375,2.8957,0.2312,0.2067,0.017,0.614
SDSSXCS-13,0.3753,0.0374,2.8968,0.2312,0.2063,0.017,0.43
SDSSXCS-134,0.3744,0.0376,2.8977,0.2321,0.2067,0.017,0.623
SDSSXCS-137,0.3764,0.0374,2.8831,0.232,0.2066,0.017,0.571
SDSSXCS-14,0.3772,0.0376,2.8931,0.2314,0.2065,0.017,0.541
SDSSXCS-147,0.3734,0.0371,2.8899,0.2296,0.2054,0.0169,0.014
SDSSXCS-15,0.3808,0.0375,2.8513,0.229,0.2049,0.0168,-0.243
SDSSXCS-155,0.3695,0.0367,2.8959,0.227,0.2029,0.0168,-1.241
SDSSXCS-15984,0.3749,0.0376,2.8974,0.2323,0.2067,0.017,0.64
SDSSXCS-1628,0.3772,0.0369,2.9038,0.229,0.2047,0.0168,-0.344
SDSSXCS-16286,0.3672,0.0378,2.9471,0.2386,0.2053,0.0168,-0.072
SDSSXCS-1645,0.3756,0.037,2.8749,0.2282,0.2047,0.0169,-0.332
SDSSXCS-165,0.3827,0.0377,2.8423,0.2301,0.2049,0.0168,-0.234
SDSSXCS-176,0.3787,0.0375,2.8675,0.2313,0.2059,0.0169,0.251
SDSSXCS-1884,0.3743,0.0376,2.9051,0.2346,0.2065,0.0169,0.507
SDSSXCS-189,0.3702,0.0372,2.9011,0.2299,0.2048,0.0169,-0.289
SDSSXCS-19,0.3736,0.0373,2.8934,0.2301,0.2062,0.0169,0.388
SDSSXCS-19467,0.3755,0.0372,2.8851,0.2301,0.2057,0.0168,0.119
SDSSXCS-2,0.3739,0.0378,2.8992,0.2315,0.2067,0.0169,0.626
SDSSXCS-2032,0.3759,0.0373,2.9026,0.2313,0.2062,0.0169,0.376
SDSSXCS-209,0.3722,0.0373,2.8974,0.2303,0.206,0.017,0.263
SDSSXCS-21,0.3732,0.0373,2.8919,0.23,0.2059,0.0169,0.234
SDSSXCS-210,0.372,0.037,2.9276,0.2326,0.2049,0.0168,-0.26
SDSSXCS-212,0.3758,0.0376,2.8897,0.2338,0.2066,0.0169,0.598
SDSSXCS-22,0.3851,0.0337,2.9074,0.2096,0.1816,0.0157,-11.574
SDSSXCS-226,0.3725,0.0374,2.8961,0.2308,0.2058,0.0169,0.185
SDSSXCS-2282,0.3646,0.0372,2.9724,0.2375,0.2029,0.0168,-1.231
SDSSXCS-2288,0.3776,0.0373,2.8945,0.2296,0.2062,0.0169,0.362
SDSSXCS-23,0.373,0.0373,2.9165,0.2337,0.206,0.0169,0.296
SDSSXCS-2347,0.3767,0.0372,2.8814,0.231,0.2063,0.017,0.442
SDSSXCS-236,0.3752,0.0374,2.896,0.2321,0.2067,0.017,0.635
SDSSXCS-239,0.3743,0.0373,2.8968,0.2314,0.2065,0.017,0.504
SDSSXCS-2789,0.3765,0.0371,2.8698,0.2281,0.2045,0.0168,-0.442
SDSSXCS-2836,0.3755,0.0374,2.8886,0.2317,0.2063,0.017,0.41
SDSSXCS-286,0.3722,0.0374,2.8971,0.2311,0.2057,0.0169,0.152
SDSSXCS-29,0.3726,0.038,2.901,0.2324,0.2066,0.017,0.553
SDSSXCS-290,0.3764,0.0371,2.9034,0.2304,0.2056,0.0169,0.077
SDSSXCS-298,0.3756,0.0375,2.9007,0.2325,0.2064,0.017,0.49
SDSSXCS-2984,0.3748,0.0376,2.8978,0.2345,0.2065,0.017,0.527
SDSSXCS-3,0.3755,0.0378,2.8953,0.2312,0.2068,0.017,0.669
SDSSXCS-309,0.3749,0.037,2.9093,0.2306,0.2058,0.0169,0.185
SDSSXCS-31,0.3723,0.0378,2.9015,0.2325,0.2064,0.0169,0.472
SDSSXCS-314,0.375,0.0373,2.8882,0.2309,0.2063,0.0169,0.45
SDSSXCS-32,0.3793,0.0376,2.8663,0.2315,0.2059,0.0169,0.226
SDSSXCS-325,0.3734,0.0375,2.9114,0.2346,0.2065,0.017,0.535
SDSSXCS-3312,0.3751,0.0372,2.8936,0.2306,0.2058,0.0169,0.167
SDSSXCS-34,0.374,0.0375,2.9086,0.2337,0.2063,0.017,0.442
SDSSXCS-3672,0.3747,0.0373,2.8988,0.2324,0.2065,0.017,0.549
SDSSXCS-382,0.3823,0.0373,2.8371,0.2267,0.2035,0.0168,-0.917
SDSSXCS-395,0.3753,0.0372,2.9016,0.2313,0.2066,0.017,0.558
SDSSXCS-4003,0.3749,0.0374,2.8963,0.2325,0.2067,0.017,0.625
SDSSXCS-408,0.3768,0.0374,2.8988,0.2311,0.2062,0.017,0.367
SDSSXCS-41,0.3749,0.0374,2.8969,0.2303,0.2067,0.017,0.633
SDSSXCS-43,0.3787,0.0379,2.8878,0.2313,0.2064,0.017,0.498
SDSSXCS-455,0.3744,0.0373,2.8874,0.2304,0.206,0.0169,0.273
SDSSXCS-457,0.3747,0.0373,2.8961,0.2306,0.2066,0.017,0.571
SDSSXCS-480,0.3781,0.0375,2.894,0.2311,0.206,0.0169,0.279
SDSSXCS-487,0.3711,0.037,2.8926,0.2287,0.204,0.0168,-0.706
SDSSXCS-5,0.3762,0.037,2.908,0.2298,0.205,0.0169,-0.181
SDSSXCS-5020,0.3764,0.0372,2.8839,0.23,0.2059,0.0169,0.239
SDSSXCS-51,0.3745,0.0373,2.8967,0.2304,0.2067,0.017,0.615
SDSSXCS-5159,0.3862,0.0372,2.8186,0.2244,0.2031,0.0165,-1.143
SDSSXCS-5225,0.3734,0.0372,2.9156,0.2328,0.2057,0.0169,0.123
SDSSXCS-55,0.3752,0.0374,2.8986,0.2308,0.2067,0.017,0.638
SDSSXCS-5527,0.3741,0.0374,2.9045,0.2325,0.2063,0.0169,0.429
SDSSXCS-572,0.3757,0.0374,2.9013,0.2318,0.2064,0.0169,0.469
SDSSXCS-574,0.3749,0.0373,2.8948,0.2314,0.2066,0.017,0.59
SDSSXCS-575,0.3763,0.0373,2.8821,0.2308,0.2063,0.0169,0.415
SDSSXCS-5830,0.3655,0.0377,2.9601,0.2399,0.2046,0.0168,-0.377
SDSSXCS-586,0.3717,0.0375,2.9207,0.2349,0.2059,0.0169,0.247
SDSSXCS-593,0.3735,0.0374,2.9104,0.234,0.2065,0.0169,0.518
SDSSXCS-6,0.377,0.0373,2.8941,0.2301,0.2062,0.0169,0.39
SDSSXCS-64824,0.3744,0.0379,2.9009,0.2359,0.2065,0.017,0.543
SDSSXCS-65,0.369,0.0375,2.9075,0.2308,0.205,0.0169,-0.216
SDSSXCS-667,0.3764,0.0377,2.8933,0.2306,0.2068,0.017,0.656
SDSSXCS-68,0.3743,0.0376,2.8959,0.2314,0.2067,0.017,0.625
SDSSXCS-6955,0.3628,0.0369,2.9843,0.2368,0.2019,0.0165,-1.711
SDSSXCS-71,0.3751,0.0373,2.8942,0.231,0.2068,0.017,0.654
SDSSXCS-7416,0.3707,0.038,2.9255,0.2385,0.2061,0.017,0.353
SDSSXCS-7432,0.3717,0.0372,2.9289,0.2335,0.2051,0.0169,-0.14
SDSSXCS-75,0.374,0.0373,2.8914,0.2307,0.2055,0.0168,0.052
SDSSXCS-765,0.3744,0.0373,2.9062,0.2324,0.2062,0.0169,0.404
SDSSXCS-7783,0.3761,0.0372,2.9083,0.2314,0.2052,0.0169,-0.126
SDSSXCS-78,0.3757,0.0376,2.8972,0.2321,0.2067,0.017,0.614
SDSSXCS-8060,0.3889,0.0366,2.7911,0.2194,0.1986,0.0165,-3.319
SDSSXCS-852,0.3757,0.0372,2.8819,0.2301,0.2059,0.0169,0.213
SDSSXCS-890,0.375,0.0372,2.8829,0.2302,0.2056,0.0169,0.099
SDSSXCS-893,0.3706,0.0368,2.8928,0.2271,0.2034,0.0167,-1.0
SDSSXCS-9,0.3745,0.0371,2.9038,0.2312,0.2063,0.0169,0.441
SDSSXCS-907,0.371,0.0374,2.9018,0.2306,0.2055,0.0169,0.018
SDSSXCS-9258,0.3746,0.0381,2.8995,0.2374,0.2066,0.017,0.557
SDSSXCS-9313,0.3799,0.0376,2.8584,0.231,0.2056,0.0169,0.072
SDSSXCS-944,0.3791,0.0373,2.8587,0.2295,0.2048,0.0168,-0.284
SDSSXCS-9803,0.3786,0.0371,2.901,0.2296,0.2039,0.0168,-0.717
