,dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
0,SDSSXCS-124,0.5564,0.205,2.7045,0.7979,0.1999,0.071,2.724
1,SDSSXCS-7783,0.5501,0.1603,2.8133,0.7369,0.1775,0.0667,-8.773
2,SDSSXCS-2032,0.5416,0.174,2.7835,0.7962,0.1965,0.0706,1.015
3,SDSSXCS-314,0.5257,0.1786,2.7297,0.8088,0.201,0.0727,3.334
4,SDSSXCS-574,0.5346,0.1727,2.6767,0.7746,0.1967,0.0706,1.097
5,SDSSXCS-55,0.5654,0.1839,2.7094,0.7853,0.1955,0.0704,0.5
6,SDSSXCS-2836,0.5635,0.1686,2.5319,0.7295,0.1849,0.0664,-4.955
7,SDSSXCS-110,0.5254,0.1347,2.4977,0.5456,0.143,0.0577,-26.521
8,SDSSXCS-212,0.5765,0.1838,2.5286,0.8188,0.1913,0.0695,-1.653
9,SDSSXCS-2282,0.2896,0.1898,4.1285,1.3465,0.1533,0.0556,-21.214
