,dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
0,SDSSXCS-19,0.3521,0.2276,1.4573,0.4632,0.2818,0.0981,87.93
1,SDSSXCS-34,0.3235,0.196,1.626,0.3435,0.2357,0.0879,57.239
2,SDSSXCS-2032,0.3649,0.2242,1.5062,0.3761,0.2813,0.0988,87.611
3,SDSSXCS-123,0.3616,0.2262,1.4778,0.3648,0.2834,0.0985,89.032
4,SDSSXCS-6955,0.2929,0.2127,1.6139,0.3618,0.2509,0.0876,67.36
5,SDSSXCS-71,0.4106,0.1927,1.5884,0.3244,0.2343,0.0822,56.302
6,SDSSXCS-41,0.3213,0.2334,1.4307,0.3444,0.2771,0.0957,84.796
7,SDSSXCS-5159,0.9673,0.2374,1.087,0.185,0.1469,0.0601,-2.011
8,SDSSXCS-487,0.3309,0.2231,1.4192,0.3385,0.2727,0.0953,81.895
9,SDSSXCS-110,0.3329,0.2074,1.3844,0.3101,0.2537,0.0906,69.195
