dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
SDSSXCS-1018,0.436,0.0613,2.5337,0.2379,0.2369,0.0196,0.326
SDSSXCS-10401,0.4189,0.0605,2.6271,0.2439,0.2317,0.0194,-1.883
SDSSXCS-110,0.4349,0.0603,2.5232,0.2324,0.2338,0.0194,-0.962
SDSSXCS-11154,0.4344,0.0611,2.5598,0.2393,0.2368,0.0196,0.277
SDSSXCS-1131,0.4332,0.0609,2.555,0.2377,0.2362,0.0195,0.046
SDSSXCS-11331,0.4327,0.0611,2.567,0.2403,0.2365,0.0196,0.156
SDSSXCS-1137,0.4367,0.0613,2.5495,0.2379,0.2371,0.0196,0.401
SDSSXCS-11881,0.4261,0.0611,2.5854,0.2421,0.2357,0.0194,-0.167
SDSSXCS-120,0.434,0.0612,2.5489,0.2381,0.2376,0.0197,0.628
SDSSXCS-123,0.4339,0.0612,2.5544,0.2384,0.2374,0.0196,0.55
SDSSXCS-124,0.4322,0.0616,2.5507,0.2385,0.2374,0.0196,0.563
SDSSXCS-13,0.4348,0.0614,2.5485,0.2375,0.2371,0.0196,0.431
SDSSXCS-134,0.4327,0.0616,2.5505,0.2388,0.2375,0.0197,0.597
SDSSXCS-137,0.437,0.0616,2.5337,0.2395,0.2372,0.0197,0.477
SDSSXCS-14,0.435,0.0619,2.5485,0.239,0.2375,0.0196,0.578
SDSSXCS-147,0.4316,0.0608,2.5445,0.2359,0.2365,0.0196,0.168
SDSSXCS-15,0.438,0.0609,2.5267,0.2361,0.2366,0.0195,0.187
SDSSXCS-155,0.4233,0.0613,2.5629,0.2377,0.2351,0.0195,-0.42
SDSSXCS-15984,0.4332,0.0614,2.5487,0.2386,0.2375,0.0197,0.607
SDSSXCS-1628,0.434,0.061,2.5582,0.2394,0.237,0.0196,0.386
SDSSXCS-16286,0.4204,0.0609,2.6154,0.2436,0.2335,0.0192,-1.118
SDSSXCS-1645,0.4345,0.0611,2.5337,0.2369,0.2361,0.0196,0.0
SDSSXCS-165,0.4458,0.0617,2.4993,0.2364,0.236,0.0195,-0.044
SDSSXCS-176,0.4492,0.0622,2.4871,0.2372,0.2354,0.0195,-0.301
SDSSXCS-1884,0.4322,0.0611,2.562,0.2396,0.237,0.0196,0.381
SDSSXCS-189,0.4275,0.0613,2.5545,0.2376,0.2362,0.0196,0.021
SDSSXCS-19,0.4315,0.0614,2.5494,0.2383,0.2371,0.0196,0.422
SDSSXCS-19467,0.4342,0.061,2.544,0.2376,0.2367,0.0195,0.237
SDSSXCS-2,0.4303,0.0621,2.5555,0.2387,0.2375,0.0196,0.568
SDSSXCS-2032,0.4339,0.0612,2.5545,0.2393,0.2374,0.0196,0.529
SDSSXCS-209,0.4297,0.0614,2.5508,0.2377,0.2367,0.0196,0.241
SDSSXCS-21,0.432,0.0615,2.551,0.2381,0.2375,0.0196,0.58
SDSSXCS-210,0.427,0.0612,2.5868,0.2425,0.2358,0.0195,-0.141
SDSSXCS-212,0.4354,0.0613,2.5424,0.2393,0.2374,0.0196,0.555
SDSSXCS-22,0.4445,0.0576,2.5664,0.2256,0.22,0.0188,-6.812
SDSSXCS-226,0.4303,0.061,2.5465,0.2364,0.2362,0.0195,0.042
SDSSXCS-2282,0.4261,0.0593,2.6102,0.2375,0.2285,0.0191,-3.203
SDSSXCS-2288,0.4337,0.0612,2.5505,0.2387,0.2376,0.0196,0.611
SDSSXCS-23,0.4331,0.0606,2.572,0.238,0.2349,0.0195,-0.52
SDSSXCS-2347,0.4351,0.0616,2.5431,0.2398,0.2373,0.0196,0.49
SDSSXCS-236,0.4344,0.0613,2.5519,0.2394,0.2375,0.0197,0.574
SDSSXCS-239,0.4329,0.0613,2.5472,0.2376,0.2372,0.0196,0.456
SDSSXCS-2789,0.4381,0.0608,2.5168,0.2341,0.2347,0.0194,-0.583
SDSSXCS-2836,0.4421,0.0614,2.5097,0.2362,0.2357,0.0195,-0.156
SDSSXCS-286,0.4305,0.0609,2.5461,0.2355,0.2363,0.0196,0.077
SDSSXCS-29,0.4273,0.0623,2.5597,0.2403,0.2371,0.0196,0.408
SDSSXCS-290,0.4356,0.0612,2.5569,0.2383,0.2365,0.0196,0.154
SDSSXCS-298,0.4351,0.0613,2.5529,0.2389,0.2373,0.0197,0.501
SDSSXCS-2984,0.4326,0.0614,2.5593,0.2416,0.237,0.0196,0.396
SDSSXCS-3,0.432,0.0618,2.5502,0.239,0.2375,0.0196,0.592
SDSSXCS-309,0.4366,0.0609,2.5574,0.2381,0.2358,0.0195,-0.136
SDSSXCS-31,0.43,0.0621,2.5556,0.2391,0.2373,0.0196,0.524
SDSSXCS-314,0.434,0.0615,2.5499,0.239,0.2376,0.0196,0.628
SDSSXCS-32,0.4397,0.0618,2.5249,0.2391,0.2368,0.0196,0.3
SDSSXCS-325,0.4315,0.0612,2.57,0.241,0.2365,0.0196,0.155
SDSSXCS-3312,0.4349,0.061,2.5442,0.2376,0.2365,0.0196,0.171
SDSSXCS-34,0.4333,0.0606,2.5663,0.2378,0.236,0.0196,-0.047
SDSSXCS-3672,0.4316,0.0611,2.5659,0.2404,0.2369,0.0196,0.339
SDSSXCS-382,0.4543,0.0609,2.4622,0.2299,0.2326,0.0194,-1.504
SDSSXCS-395,0.4348,0.061,2.5544,0.2381,0.2373,0.0197,0.507
SDSSXCS-4003,0.4363,0.0619,2.5379,0.2413,0.2373,0.0197,0.516
SDSSXCS-408,0.436,0.0616,2.5479,0.2383,0.2373,0.0196,0.509
SDSSXCS-41,0.434,0.0618,2.549,0.2389,0.2376,0.0196,0.635
SDSSXCS-43,0.4334,0.0619,2.5503,0.2391,0.2377,0.0197,0.652
SDSSXCS-455,0.4335,0.0609,2.5413,0.2365,0.2368,0.0196,0.305
SDSSXCS-457,0.4368,0.0616,2.5459,0.2373,0.2372,0.0196,0.476
SDSSXCS-480,0.4352,0.0614,2.5489,0.2379,0.2375,0.0197,0.608
SDSSXCS-487,0.4302,0.0607,2.5406,0.2354,0.2348,0.0194,-0.574
SDSSXCS-5,0.4351,0.0612,2.5583,0.2386,0.2366,0.0196,0.218
SDSSXCS-5020,0.4408,0.0613,2.5194,0.2366,0.2362,0.0195,0.057
SDSSXCS-51,0.4335,0.0617,2.5491,0.2392,0.2374,0.0196,0.565
SDSSXCS-5159,0.4863,0.0618,2.3607,0.222,0.2289,0.0187,-3.046
SDSSXCS-5225,0.4318,0.061,2.5673,0.2397,0.2365,0.0196,0.154
SDSSXCS-55,0.4342,0.0613,2.5492,0.2374,0.2376,0.0196,0.62
