dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
SDSSXCS-1018,0.6724,0.0885,1.9066,0.1226,0.2027,0.0182,0.614
SDSSXCS-10401,0.6433,0.0877,1.9027,0.119,0.1972,0.0179,-2.127
SDSSXCS-110,0.6695,0.0872,1.8845,0.1195,0.199,0.018,-1.255
SDSSXCS-11154,0.6789,0.0897,1.9028,0.1219,0.2028,0.0182,0.642
SDSSXCS-1131,0.6732,0.0888,1.9078,0.1229,0.2024,0.0182,0.443
SDSSXCS-11331,0.6694,0.0897,1.9039,0.1225,0.2029,0.0182,0.682
SDSSXCS-11881,0.6652,0.0888,1.9063,0.1222,0.2017,0.0181,0.098
SDSSXCS-123,0.6719,0.0888,1.8999,0.123,0.203,0.0182,0.759
SDSSXCS-124,0.668,0.0893,1.8935,0.1231,0.2027,0.0181,0.606
SDSSXCS-13,0.6727,0.0902,1.9034,0.1247,0.2031,0.0182,0.765
SDSSXCS-134,0.6653,0.0889,1.8881,0.1224,0.202,0.0181,0.263
SDSSXCS-147,0.6717,0.0892,1.9009,0.1235,0.2031,0.0182,0.781
SDSSXCS-15,0.7013,0.0848,1.962,0.1204,0.1912,0.0173,-5.119
SDSSXCS-155,0.665,0.0888,1.8878,0.1222,0.2019,0.0181,0.178
SDSSXCS-15984,0.6955,0.0873,1.9033,0.119,0.1973,0.0178,-2.096
SDSSXCS-1628,0.6752,0.0894,1.9011,0.1227,0.203,0.0182,0.715
SDSSXCS-16286,0.6586,0.0895,1.901,0.1211,0.2016,0.0181,0.026
SDSSXCS-1645,0.6744,0.089,1.9001,0.1226,0.2029,0.0182,0.697
SDSSXCS-165,0.6765,0.0876,1.9224,0.1226,0.1998,0.018,-0.859
SDSSXCS-176,0.6726,0.0889,1.9039,0.1232,0.203,0.0182,0.754
SDSSXCS-1884,0.6711,0.0885,1.9064,0.1224,0.2023,0.0182,0.389
SDSSXCS-189,0.6701,0.0889,1.8972,0.1229,0.2028,0.0181,0.641
SDSSXCS-19,0.6761,0.0899,1.9085,0.1246,0.2029,0.0182,0.666
SDSSXCS-2,0.6568,0.0906,1.8815,0.1235,0.2021,0.0181,0.31
SDSSXCS-2032,0.6729,0.0888,1.9025,0.1227,0.2031,0.0182,0.776
SDSSXCS-209,0.6617,0.0878,1.8798,0.1197,0.1996,0.018,-0.949
SDSSXCS-210,0.6807,0.088,1.9233,0.123,0.2004,0.018,-0.574
SDSSXCS-212,0.6799,0.0863,1.9326,0.1211,0.1969,0.0178,-2.311
SDSSXCS-22,0.6698,0.0894,1.8976,0.1236,0.203,0.0182,0.737
SDSSXCS-226,0.6656,0.0886,1.887,0.1216,0.2015,0.0181,0.019
SDSSXCS-2282,0.665,0.0887,1.9061,0.1217,0.2015,0.018,-0.028
SDSSXCS-2288,0.6737,0.0887,1.9003,0.1226,0.2029,0.0182,0.714
