dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
SDSSXCS-1018,1.3929,0.0981,3.8375,0.1689,0.1559,0.0137,-0.023
SDSSXCS-10401,1.368,0.1007,3.8832,0.1727,0.1561,0.0137,0.098
SDSSXCS-110,1.3814,0.0977,3.8425,0.1688,0.1556,0.0137,-0.191
SDSSXCS-11154,1.3867,0.0978,3.8659,0.1705,0.1567,0.0137,0.526
SDSSXCS-1131,1.3878,0.0974,3.8596,0.1689,0.156,0.0136,0.036
SDSSXCS-11331,1.3905,0.0991,3.8522,0.1713,0.1571,0.0138,0.733
SDSSXCS-1137,1.3907,0.0979,3.8651,0.1705,0.1567,0.0138,0.498
SDSSXCS-11881,1.3804,0.098,3.8681,0.1698,0.1559,0.0136,0.008
SDSSXCS-120,1.3885,0.098,3.8542,0.1705,0.157,0.0138,0.703
SDSSXCS-123,1.3885,0.098,3.8634,0.1703,0.1569,0.0137,0.615
SDSSXCS-124,1.3874,0.0983,3.8549,0.1698,0.1569,0.0137,0.613
SDSSXCS-13,1.3919,0.0978,3.8588,0.1694,0.1564,0.0137,0.309
SDSSXCS-134,1.3888,0.0982,3.8568,0.1697,0.157,0.0138,0.672
SDSSXCS-137,1.3968,0.0986,3.8349,0.1699,0.1562,0.0137,0.19
SDSSXCS-14,1.3953,0.0988,3.8623,0.1698,0.1566,0.0137,0.458
SDSSXCS-147,1.3843,0.098,3.8502,0.1689,0.1566,0.0137,0.402
SDSSXCS-15,1.4123,0.0975,3.8121,0.1664,0.1539,0.0135,-1.286
SDSSXCS-155,1.3747,0.0989,3.8512,0.1687,0.1561,0.0137,0.129
SDSSXCS-15984,1.3886,0.0981,3.856,0.1699,0.157,0.0138,0.686
SDSSXCS-1628,1.3878,0.0985,3.8586,0.171,0.1569,0.0138,0.616
SDSSXCS-16286,1.3751,0.0992,3.8727,0.1711,0.1562,0.0137,0.156
SDSSXCS-1645,1.387,0.0973,3.8395,0.1682,0.1557,0.0137,-0.161
SDSSXCS-165,1.4001,0.0982,3.8332,0.1693,0.1559,0.0136,-0.02
SDSSXCS-176,1.3959,0.098,3.8393,0.1698,0.1564,0.0137,0.28
SDSSXCS-1884,1.3871,0.0977,3.8654,0.1704,0.1563,0.0137,0.231
SDSSXCS-189,1.3782,0.098,3.8479,0.1678,0.156,0.0137,0.059
SDSSXCS-19,1.3877,0.0984,3.8551,0.1695,0.157,0.0137,0.658
SDSSXCS-19467,1.3883,0.0978,3.8557,0.1686,0.1563,0.0137,0.253
SDSSXCS-2,1.4005,0.1,3.8582,0.1695,0.1567,0.0137,0.489
SDSSXCS-2032,1.3883,0.0979,3.856,0.17,0.1569,0.0138,0.653
SDSSXCS-209,1.3863,0.0988,3.8541,0.1692,0.1569,0.0138,0.632
SDSSXCS-21,1.3845,0.0978,3.8497,0.1691,0.1567,0.0137,0.501
SDSSXCS-210,1.3796,0.0975,3.8773,0.1696,0.1555,0.0136,-0.252
SDSSXCS-212,1.3938,0.0986,3.8444,0.1704,0.1567,0.0138,0.502
SDSSXCS-22,1.4064,0.0799,3.9384,0.1413,0.1186,0.0123,-23.926
SDSSXCS-226,1.3854,0.0984,3.8531,0.1691,0.1568,0.0138,0.553
SDSSXCS-2282,1.3661,0.0994,3.888,0.1721,0.1554,0.0136,-0.335
SDSSXCS-2288,1.3893,0.0978,3.8442,0.1697,0.1566,0.0137,0.43
SDSSXCS-23,1.3819,0.0981,3.8756,0.1707,0.156,0.0137,0.043
SDSSXCS-2347,1.3894,0.0981,3.854,0.1703,0.1567,0.0137,0.503
SDSSXCS-236,1.3899,0.0981,3.8653,0.1702,0.1565,0.0137,0.349
SDSSXCS-239,1.387,0.0979,3.854,0.1697,0.1566,0.0137,0.425
SDSSXCS-2789,1.3899,0.0972,3.8321,0.1673,0.1549,0.0136,-0.688
SDSSXCS-2836,1.3953,0.0978,3.8358,0.1691,0.1558,0.0136,-0.087
SDSSXCS-286,1.3848,0.0988,3.8537,0.1691,0.1567,0.0137,0.497
SDSSXCS-29,1.391,0.1004,3.856,0.1702,0.1571,0.0138,0.756
SDSSXCS-290,1.3911,0.0972,3.8741,0.169,0.1554,0.0137,-0.313
SDSSXCS-298,1.3888,0.0977,3.8644,0.1703,0.1567,0.0138,0.518
SDSSXCS-2984,1.387,0.0985,3.8606,0.1708,0.1567,0.0137,0.464
SDSSXCS-3,1.3932,0.0996,3.8581,0.1703,0.157,0.0138,0.678
SDSSXCS-309,1.3884,0.0971,3.8759,0.1693,0.1553,0.0136,-0.383
SDSSXCS-31,1.3884,0.0995,3.8565,0.1701,0.157,0.0138,0.709
SDSSXCS-314,1.3885,0.0981,3.8565,0.17,0.157,0.0138,0.683
SDSSXCS-32,1.3941,0.098,3.845,0.17,0.1563,0.0137,0.257
SDSSXCS-325,1.3849,0.0986,3.864,0.1713,0.1569,0.0138,0.592
SDSSXCS-3312,1.3887,0.0978,3.8601,0.1689,0.1561,0.0136,0.098
SDSSXCS-34,1.3856,0.0981,3.8652,0.171,0.1566,0.0137,0.425
SDSSXCS-3672,1.3877,0.0985,3.8586,0.1707,0.1568,0.0137,0.536
SDSSXCS-382,1.4108,0.0964,3.8064,0.1652,0.1525,0.0135,-2.177
SDSSXCS-395,1.3897,0.0978,3.8689,0.1705,0.1564,0.0137,0.288
SDSSXCS-4003,1.3911,0.0981,3.849,0.1703,0.1568,0.0137,0.56
SDSSXCS-408,1.3981,0.0979,3.8679,0.1692,0.1558,0.0137,-0.097
SDSSXCS-41,1.3966,0.0991,3.8609,0.1697,0.1567,0.0137,0.463
SDSSXCS-43,1.3872,0.0987,3.8551,0.1701,0.1571,0.0138,0.763
SDSSXCS-455,1.3875,0.0976,3.8403,0.1689,0.1559,0.0137,-0.038
SDSSXCS-457,1.3884,0.0978,3.856,0.17,0.1569,0.0137,0.622
SDSSXCS-480,1.3947,0.0977,3.8652,0.1693,0.1564,0.0137,0.278
SDSSXCS-487,1.3783,0.0981,3.8474,0.1683,0.1557,0.0137,-0.135
SDSSXCS-5,1.3939,0.0968,3.8795,0.1691,0.1542,0.0136,-1.13
SDSSXCS-5020,1.3897,0.0979,3.8526,0.1695,0.1563,0.0137,0.238
SDSSXCS-51,1.3931,0.0988,3.8602,0.1701,0.1567,0.0137,0.486
SDSSXCS-5159,1.3977,0.0976,3.8312,0.1683,0.1552,0.0135,-0.451
SDSSXCS-5225,1.3893,0.0985,3.8544,0.1699,0.1567,0.0137,0.485
SDSSXCS-55,1.3943,0.0982,3.8629,0.1699,0.1566,0.0137,0.409
SDSSXCS-5527,1.3872,0.098,3.8609,0.1706,0.1566,0.0138,0.425
