,dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
0,SDSSXCS-1018,1.5787,0.3227,3.5735,0.4434,0.1222,0.056,-20.199
1,SDSSXCS-10401,1.2988,0.5099,3.9321,0.5799,0.1386,0.0601,-9.467
2,SDSSXCS-110,1.3936,0.272,3.4692,0.3407,0.0866,0.0505,-43.458
3,SDSSXCS-11154,1.5752,0.3511,3.8756,0.548,0.1392,0.0627,-9.092
4,SDSSXCS-1131,1.5698,0.3353,3.7679,0.4768,0.131,0.0552,-14.425
5,SDSSXCS-11331,1.5479,0.3758,3.7711,0.5724,0.1495,0.0658,-2.322
6,SDSSXCS-1137,1.827,0.316,3.9434,0.4236,0.0899,0.0566,-41.265
7,SDSSXCS-11881,1.5753,0.3963,3.7368,0.497,0.1363,0.0602,-10.983
8,SDSSXCS-120,1.5408,0.3667,3.7006,0.5479,0.1462,0.0661,-4.501
9,SDSSXCS-123,1.566,0.373,3.8105,0.5679,0.1483,0.0655,-3.127
