rel_name,scatter_dominating_excluded,slope,slope+-,norm,norm+-,scatter,scatter+-
rel_mtot500_tx500,False,1.358,0.113,3.668,0.185,0.116,0.017
unrel_mtot500_tx500,False,1.454,0.108,4.262,0.208,0.112,0.018
rel_mtot500_tx500ce,False,1.364,0.106,3.55,0.174,0.106,0.016
unrel_mtot500_tx500ce,False,1.468,0.106,4.323,0.205,0.106,0.018
rel_mtot500_lxbol_500,False,0.371,0.045,2.532,0.269,0.167,0.021
unrel_mtot500_lxbol_500,False,0.457,0.046,3.121,0.269,0.161,0.022
rel_mtot500_lxbol_500ce,False,0.411,0.046,2.842,0.256,0.158,0.02
unrel_mtot500_lxbol_500ce,False,0.468,0.047,3.456,0.276,0.163,0.022
rel_mtot500_rich,False,0.601,0.125,5.296,0.494,0.221,0.027
unrel_mtot500_rich,False,0.791,0.152,6.233,0.615,0.235,0.029
rel_mtot500_mgas500,False,0.445,0.077,2.332,0.288,0.207,0.025
unrel_mtot500_mgas500,False,0.458,0.086,2.805,0.354,0.233,0.029
rel_mtot2500_mgas2500,False,0.575,0.073,1.321,0.084,0.169,0.021
unrel_mtot2500_mgas2500,False,0.577,0.056,1.375,0.07,0.131,0.019
rel_mgas500_tx500,False,1.931,0.178,2.726,0.214,0.22,0.025
unrel_mgas500_tx500,False,1.858,0.208,2.604,0.23,0.251,0.028
rel_mgas500_lxbol_500,False,0.649,0.04,1.311,0.119,0.17,0.017
unrel_mgas500_lxbol_500,False,0.699,0.045,1.47,0.122,0.177,0.019
