name,cent_ra,cent_ra-,cent_ra+,cent_dec,cent_dec-,cent_dec+,position_angle,position_angle-,position_angle+,ax_ratio,ax_ratio-,ax_ratio+
SDSSXCS-124,0.80088,8e-05,8e-05,-6.09198,0.00011,8e-05,73.0861,1.8186,1.1307,0.9298,0.0078,0.0047
SDSSXCS-2789,0.95685,0.00016,0.00015,2.06662,0.00019,0.00021,71.0817,1.0994,1.1707,0.8781,0.0061,0.0065
SDSSXCS-290,2.72279,0.0003,0.00037,29.16083,0.00036,0.00024,88.747,38.2548,32.2089,0.9976,0.0178,0.0086
SDSSXCS-1018,4.40763,0.00019,0.00018,-0.8768,0.00018,0.00018,-66.292,6.5781,7.1269,0.9508,0.0143,0.0131
SDSSXCS-134,4.9085,9e-05,0.0001,3.60942,8e-05,9e-05,86.4107,1.5339,1.2411,0.9793,0.0067,0.0068
SDSSXCS-119,8.46506,0.00038,0.00044,-7.86282,0.00048,0.00049,56.4588,3.4426,3.8665,0.8325,0.0183,0.023
SDSSXCS-209,9.27658,0.00012,0.00013,9.15798,0.00011,0.00011,46.7504,1.1021,1.4023,0.8089,0.0068,0.008
SDSSXCS-15,11.62746,0.00043,0.00039,20.46921,0.00034,0.00033,-6.5357,3.721,4.0045,0.9844,0.0076,0.0111
SDSSXCS-71,13.99815,0.00015,0.00019,26.33363,0.00017,0.00018,-65.1518,3.9964,3.9996,0.9473,0.0105,0.01
SDSSXCS-5020,16.06186,0.00044,0.00049,25.08458,0.00054,0.00044,-71.863,10.6878,10.6102,0.9574,0.0227,0.0256
SDSSXCS-2346,16.44828,0.00084,0.00102,-0.34024,0.00102,0.00102,19.7128,75.1564,64.3086,0.9941,0.0375,0.0193
SDSSXCS-586,16.54004,0.00081,0.00079,0.85127,0.00086,0.00074,-60.9841,11.9161,10.8743,0.9079,0.0416,0.0396
SDSSXCS-11331,16.70592,6e-05,7e-05,1.05713,6e-05,8e-05,-47.6585,6.1798,5.3252,0.9383,0.0099,0.0118
SDSSXCS-28849,17.95423,0.00088,0.00055,-0.01733,0.00119,0.00079,49.8745,21.6318,22.4603,0.9288,0.0467,0.0527
SDSSXCS-31144,18.60398,0.00054,0.00051,0.49535,0.00055,0.00053,53.8841,6.8391,5.8907,0.8628,0.0318,0.0322
SDSSXCS-239,28.17559,0.00012,0.00011,1.00787,0.00016,0.00015,-77.1156,1.9265,1.9929,0.9303,0.0102,0.0103
SDSSXCS-395,28.39187,0.00026,0.00015,-1.30442,0.00021,0.00019,76.7781,2.804,2.9762,0.9446,0.0129,0.0126
SDSSXCS-944,29.28341,0.00039,0.00044,-5.87374,0.00039,0.00044,-30.2884,5.0994,4.8531,0.9257,0.0139,0.0154
SDSSXCS-593,29.60463,0.00028,0.00026,-1.78198,0.00029,0.00031,89.1087,1.8192,1.6327,0.9942,0.0107,0.0062
SDSSXCS-35404,30.19021,0.00069,0.00059,-6.70693,0.00057,0.00062,-37.2198,17.58,17.7275,0.9212,0.0479,0.0403
SDSSXCS-7190,30.32959,0.00061,0.00072,-6.83248,0.00059,0.00068,-27.9825,45.4273,32.3946,0.9652,0.0342,0.0322
SDSSXCS-7783,30.42971,9e-05,0.0001,-2.19659,9e-05,0.0001,55.6204,3.1428,3.4633,0.9296,0.0096,0.0075
SDSSXCS-5743,31.35192,0.0006,0.00052,-5.72952,0.00049,0.00048,9.5436,34.4424,57.0597,0.987,0.0264,0.0161
SDSSXCS-1131,33.1129,0.00056,0.00052,-5.62676,0.00045,0.00059,1.6612,25.7616,19.8579,0.9966,0.0283,0.0175
SDSSXCS-29799,33.11309,0.00064,0.00082,-6.07602,0.00058,0.00079,-7.213,44.9593,36.9366,0.9881,0.0352,0.0232
