name,cen_shift,cen_shift-,cen_shift+,concentration,concentration-,concentration+,lovisari2017_relaxed
SDSSXCS-1018,0.0256,0.0016,0.0017,0.2855,0.0055,0.0056,False
SDSSXCS-10223,0.0316,0.0022,0.0026,0.1876,0.0058,0.0082,False
SDSSXCS-103,0.0299,0.0024,0.0017,0.0875,0.0031,0.0028,False
SDSSXCS-10401,0.0249,0.0034,0.0033,0.1687,0.007,0.0067,False
SDSSXCS-10897,0.015,0.0044,0.0071,0.0768,0.0115,0.0129,False
SDSSXCS-110,0.0595,0.0006,0.0004,0.2315,0.0017,0.0014,False
SDSSXCS-11154,0.0228,0.0025,0.0016,0.2794,0.0064,0.0048,False
SDSSXCS-1131,0.0356,0.0056,0.0061,0.195,0.0203,0.0215,False
SDSSXCS-11331,0.0045,0.0004,0.0004,0.5347,0.0038,0.0039,True
SDSSXCS-1137,0.0053,0.0005,0.0005,0.3665,0.0024,0.0023,True
SDSSXCS-11394,0.0311,0.0051,0.0069,0.2605,0.0168,0.0143,False
SDSSXCS-11613,0.0289,0.0045,0.0039,0.1408,0.0126,0.0115,False
SDSSXCS-1174,0.0405,0.005,0.0057,0.1086,0.0116,0.0097,False
SDSSXCS-11881,0.0124,0.004,0.0042,0.3791,0.0157,0.0153,True
SDSSXCS-119,0.0424,0.0043,0.0046,0.1147,0.0089,0.0111,False
SDSSXCS-120,0.0845,0.0013,0.0012,0.1157,0.0024,0.0036,False
SDSSXCS-123,0.0115,0.0009,0.0008,0.2157,0.0025,0.0017,True
SDSSXCS-124,0.0088,0.0008,0.0008,0.1798,0.0026,0.0026,True
SDSSXCS-13,0.0309,0.0013,0.002,0.1816,0.0032,0.0035,False
SDSSXCS-134,0.0429,0.0011,0.0011,0.1937,0.0032,0.0031,False
SDSSXCS-137,0.0336,0.0009,0.0013,0.1254,0.0026,0.0032,False
SDSSXCS-14,0.0149,0.0005,0.0006,0.329,0.0022,0.0022,True
SDSSXCS-147,0.0165,0.0016,0.0015,0.1448,0.0035,0.0042,False
SDSSXCS-14715,0.0241,0.0062,0.008,0.1085,0.0128,0.0137,False
SDSSXCS-15,0.0707,0.0018,0.002,0.1395,0.0038,0.0045,False
SDSSXCS-155,0.07,0.0031,0.0035,0.07,0.0047,0.0048,False
SDSSXCS-15984,0.0049,0.0007,0.0011,0.2787,0.0028,0.0031,True
SDSSXCS-16227,0.0247,0.007,0.0079,0.1714,0.0184,0.0279,False
SDSSXCS-1628,0.0023,0.0002,0.0002,0.5404,0.0016,0.002,True
SDSSXCS-16286,0.014,0.0053,0.0065,0.1226,0.0173,0.0158,False
SDSSXCS-1645,0.0214,0.0022,0.0023,0.1903,0.0046,0.0055,False
SDSSXCS-165,0.0315,0.0039,0.004,0.1392,0.009,0.0075,False
SDSSXCS-176,0.0097,0.0025,0.0027,0.249,0.0079,0.0079,True
SDSSXCS-17923,0.0184,0.0065,0.0106,0.0569,0.0126,0.0099,False
SDSSXCS-1884,0.0085,0.0029,0.004,0.1791,0.0165,0.0175,True
SDSSXCS-189,0.105,0.0095,0.0075,0.0505,0.006,0.0082,False
SDSSXCS-19,0.0269,0.0016,0.002,0.1729,0.0063,0.0058,False
SDSSXCS-19467,0.0087,0.0021,0.0029,0.279,0.0159,0.0161,True
SDSSXCS-19922,0.012,0.0039,0.0079,0.1293,0.0192,0.0167,False
SDSSXCS-2,0.0315,0.001,0.0013,0.1595,0.0025,0.0022,False
SDSSXCS-2032,0.0039,0.0008,0.0013,0.4798,0.0054,0.0065,True
SDSSXCS-209,0.0088,0.0017,0.002,0.1893,0.0038,0.0046,True
SDSSXCS-2092,0.0441,0.0038,0.0037,0.163,0.008,0.0115,False
SDSSXCS-21,0.0839,0.0022,0.0015,0.0716,0.0022,0.0019,False
SDSSXCS-210,0.0242,0.0042,0.0052,0.1318,0.0109,0.0116,False
SDSSXCS-212,0.0184,0.003,0.0032,0.2427,0.0079,0.0101,True
SDSSXCS-21847,0.0307,0.0031,0.0034,0.3148,0.0112,0.0152,False
SDSSXCS-22,0.0067,0.0005,0.0006,0.3104,0.0021,0.0024,True
SDSSXCS-225,0.0286,0.0021,0.0025,0.0725,0.0024,0.0035,False
SDSSXCS-226,0.014,0.0013,0.0015,0.2034,0.0042,0.0034,True
SDSSXCS-22748,0.0189,0.0051,0.0057,0.2511,0.0226,0.0201,True
SDSSXCS-2282,0.017,0.0049,0.0045,0.1487,0.012,0.0091,False
SDSSXCS-2288,0.0061,0.0004,0.0004,0.5251,0.0027,0.0032,True
SDSSXCS-23,0.028,0.0029,0.0028,0.159,0.006,0.0058,False
SDSSXCS-2346,0.028,0.0102,0.0115,0.0979,0.0196,0.0242,False
SDSSXCS-2347,0.0076,0.0019,0.0024,0.1591,0.0063,0.0082,True
SDSSXCS-236,0.0045,0.0009,0.0012,0.1403,0.0047,0.0038,False
SDSSXCS-239,0.0166,0.0013,0.0014,0.2563,0.005,0.0056,True
SDSSXCS-241,0.2608,0.0113,0.0108,0.0788,0.0062,0.0064,False
SDSSXCS-2588,0.0174,0.007,0.0106,0.1012,0.0191,0.0179,False
SDSSXCS-26424,0.0082,0.0023,0.0034,0.0707,0.0067,0.009,False
SDSSXCS-2789,0.0045,0.0008,0.0008,0.2724,0.003,0.003,True
SDSSXCS-28269,0.0692,0.017,0.0145,0.082,0.0233,0.0308,False
SDSSXCS-2836,0.0033,0.001,0.0012,0.4627,0.0046,0.006,True
SDSSXCS-286,0.0315,0.0054,0.0046,0.2385,0.0067,0.0078,False
SDSSXCS-28849,0.0149,0.0044,0.0047,0.1407,0.0209,0.0196,False
SDSSXCS-29,0.0121,0.0009,0.001,0.2857,0.003,0.0025,True
SDSSXCS-290,0.0146,0.0033,0.0027,0.2699,0.0129,0.0109,True
SDSSXCS-29799,0.0272,0.0102,0.0118,0.1293,0.0189,0.0149,False
SDSSXCS-298,0.0171,0.001,0.001,0.216,0.0023,0.0028,True
SDSSXCS-2984,0.044,0.003,0.0032,0.0669,0.0036,0.0044,False
SDSSXCS-3,0.003,0.0003,0.0002,0.3561,0.0016,0.0014,True
SDSSXCS-309,0.014,0.0025,0.0018,0.2471,0.0079,0.0084,True
SDSSXCS-30950,0.0448,0.0065,0.0086,0.0826,0.0127,0.0133,False
SDSSXCS-31,0.0204,0.0012,0.001,0.1613,0.0023,0.0022,True
SDSSXCS-31144,0.0174,0.0048,0.0043,0.0816,0.0084,0.0105,False
SDSSXCS-314,0.0525,0.0035,0.0031,0.0866,0.0055,0.005,False
SDSSXCS-32,0.0131,0.0029,0.0025,0.1434,0.0084,0.0088,False
SDSSXCS-325,0.0223,0.0031,0.0033,0.1633,0.0081,0.0077,False
SDSSXCS-3312,0.0098,0.0013,0.0014,0.3368,0.0108,0.0113,True
SDSSXCS-34,0.0142,0.0033,0.0031,0.1818,0.0081,0.0111,True
SDSSXCS-35,0.0791,0.0022,0.0013,0.1043,0.0031,0.0022,False
SDSSXCS-35404,0.0218,0.0066,0.0079,0.1777,0.022,0.0242,False
SDSSXCS-3672,0.0103,0.0025,0.0031,0.1348,0.0098,0.0117,False
