name,cen_shift,cen_shift-,cen_shift+,concentration,concentration-,concentration+
SDSSXCS-124,0.0338,0.0009,0.0008,0.1695,0.0024,0.0026
SDSSXCS-2789,0.0888,0.0012,0.0012,0.1066,0.0024,0.0033
SDSSXCS-290,0.0096,0.0025,0.0026,0.261,0.0134,0.0111
SDSSXCS-1018,0.037,0.0019,0.0022,0.2846,0.0077,0.0091
SDSSXCS-134,0.0779,0.0012,0.0011,0.1737,0.0037,0.0029
SDSSXCS-119,0.0435,0.0082,0.0074,0.0943,0.013,0.0107
SDSSXCS-209,0.0339,0.0014,0.0019,0.1766,0.0038,0.0045
SDSSXCS-15,0.0113,0.0018,0.0023,0.1458,0.0057,0.0062
SDSSXCS-71,0.0724,0.0021,0.0015,0.1732,0.0042,0.0042
SDSSXCS-5020,0.0072,0.0028,0.0035,0.2144,0.0121,0.0108
SDSSXCS-2346,0.0327,0.0097,0.0093,0.1001,0.0252,0.0288
SDSSXCS-586,0.0675,0.01,0.0118,0.0645,0.0136,0.018
SDSSXCS-11331,0.0056,0.0003,0.0003,0.5311,0.0033,0.0033
SDSSXCS-28849,0.0249,0.0057,0.0069,0.1299,0.0159,0.0153
SDSSXCS-31144,0.0928,0.0082,0.0069,0.062,0.0101,0.0113
SDSSXCS-239,0.0164,0.0013,0.0013,0.2584,0.0054,0.0046
SDSSXCS-395,0.0085,0.0009,0.0011,0.1898,0.0058,0.005
SDSSXCS-944,0.0455,0.0033,0.0035,0.1058,0.0058,0.0083
SDSSXCS-593,0.0988,0.0019,0.0018,0.1354,0.0044,0.0043
SDSSXCS-35404,0.0443,0.0093,0.008,0.1362,0.0178,0.0167
SDSSXCS-7190,0.0632,0.0113,0.0117,0.0522,0.0133,0.0161
SDSSXCS-7783,0.0026,0.0006,0.0004,0.4833,0.0037,0.0044
SDSSXCS-5743,0.0461,0.0044,0.0043,0.1849,0.0141,0.0123
SDSSXCS-1131,0.0097,0.0037,0.0038,0.2521,0.0203,0.0179
SDSSXCS-29799,0.0267,0.0081,0.0099,0.1277,0.0164,0.0162
SDSSXCS-852,0.0238,0.0023,0.0022,0.0998,0.0045,0.0051
SDSSXCS-5830,0.0451,0.0041,0.0036,0.1767,0.006,0.0072
SDSSXCS-5977,0.007,0.0031,0.0045,0.1905,0.0159,0.0175
SDSSXCS-16227,0.0742,0.0063,0.0077,0.2328,0.0262,0.0243
SDSSXCS-2984,0.0317,0.0038,0.0048,0.0954,0.0057,0.0063
SDSSXCS-6955,0.0143,0.0051,0.0046,0.1765,0.018,0.0103
SDSSXCS-64824,0.0124,0.0033,0.0036,0.2229,0.0107,0.0095
SDSSXCS-8366,0.0386,0.0093,0.0086,0.1713,0.0139,0.0146
SDSSXCS-120,0.0661,0.0014,0.0011,0.0919,0.0014,0.0023
SDSSXCS-572,0.0035,0.0005,0.0005,0.5093,0.0032,0.0029
SDSSXCS-226,0.0052,0.001,0.0013,0.2053,0.0049,0.0049
SDSSXCS-22,0.0121,0.0006,0.0006,0.3072,0.0025,0.0025
SDSSXCS-103,0.0339,0.0016,0.002,0.0802,0.0033,0.0028
SDSSXCS-212,0.0172,0.0032,0.0022,0.2348,0.0096,0.0086
SDSSXCS-19922,0.0188,0.0049,0.0064,0.1053,0.0126,0.016
SDSSXCS-890,0.0275,0.0017,0.0017,0.2753,0.0078,0.0081
SDSSXCS-31,0.0045,0.0008,0.0013,0.1687,0.0027,0.0019
SDSSXCS-325,0.0437,0.0027,0.0027,0.0819,0.0043,0.0067
SDSSXCS-26424,0.0212,0.0054,0.0066,0.1595,0.0152,0.0161
SDSSXCS-5159,0.0274,0.0023,0.0022,0.2471,0.0062,0.0051
SDSSXCS-9803,0.002,0.0009,0.001,0.5123,0.0047,0.0053
SDSSXCS-1884,0.0176,0.005,0.006,0.1464,0.019,0.0159
SDSSXCS-5,0.0132,0.0009,0.0008,0.2971,0.003,0.0034
SDSSXCS-13,0.0031,0.0007,0.0011,0.2015,0.0033,0.0034
SDSSXCS-5225,0.0056,0.0005,0.0008,0.5223,0.0051,0.0046
SDSSXCS-21,0.0861,0.0016,0.0016,0.1324,0.0034,0.0031
SDSSXCS-23,0.03,0.003,0.003,0.1805,0.0071,0.0076
