name,MEM_MATCH_ID,xapa_ra,xapa_dec,rm_ra,rm_dec,z,r500,r500-,r500+,richness,richness_err,XCS_NAME,R_LAMBDA,xmm_targeted,xmm_serendipitous
SDSSXCS-124,124,0.80058,-6.09182,0.7982613503413916,-6.091694414143023,0.2475,1181.028,21.202,23.203,109.55,4.49,XMMXCS J000312.1-060530.5,1.01841,Y,
SDSSXCS-2789,2789,0.95554,2.06802,0.9569814053031678,2.0664686270472927,0.1053,1007.861,17.194,17.202,38.904,2.83,XMMXCS J000349.3+020404.8,0.82794166,Y,
SDSSXCS-290,290,2.72264,29.16102,2.714136576083092,29.16115396854516,0.3485,913.052,30.879,31.21,105.096,5.994,XMMXCS J001053.4+290939.6,1.0099898999999999,Y,
SDSSXCS-1018,1018,4.40633,-0.87619,4.406711392790498,-0.8783404073160839,0.2144,902.259,22.445,23.366,56.997,3.219,XMMXCS J001737.5-005234.2,0.8936554,,Y
SDSSXCS-134,134,4.90839,3.60982,4.911069186700388,3.5992569126673364,0.2773,1123.321,19.219,19.226,108.604,4.792,XMMXCS J001938.0+033635.3,1.0166453000000002,Y,
SDSSXCS-119,119,8.4647,-7.8629,8.471426198257149,-7.869543305681293,0.3042,944.275,46.422,46.747,128.192,5.697,XMMXCS J003351.5-075146.4,1.0509256999999999,Y,
SDSSXCS-209,209,9.27682,9.15719,9.278505582947561,9.156703629803653,0.2688,1295.732,27.424,27.434,101.709,4.746,XMMXCS J003706.4+090925.8,1.0033950999999999,Y,
SDSSXCS-15,15,11.62825,20.46769,11.622199893045266,20.46801265525455,0.104,850.081,63.426,73.274,123.356,3.702,XMMXCS J004630.7+202803.6,1.0428745000000001,Y,
SDSSXCS-71,71,13.99656,26.3303,14.001076223842913,26.342296732877532,0.1961,1095.927,19.708,19.728,112.922,4.166,XMMXCS J005559.1+261949.0,1.0246024,Y,
SDSSXCS-5020,5020,16.06179,25.0866,16.04132571571978,25.125640620743127,0.1658,870.994,44.264,44.688,30.468,3.097,XMMXCS J010414.8+250511.7,0.7884423,Y,
SDSSXCS-2346,2346,16.44822,-0.34014,16.446136068653068,-0.338168206068904,0.3008,269.338,34.611,51.667,59.88,4.108,XMMXCS J010547.5-002024.4,0.9025190000000001,,Y
SDSSXCS-586,586,16.54152,0.85239,16.54324207894651,0.8556917872165687,0.2624,671.661,42.987,46.523,78.232,4.147,XMMXCS J010609.9+005108.6,0.95208687,,Y
SDSSXCS-11331,11331,16.7056,1.05689,16.710520861846234,1.0697117961176237,0.2535,723.331,13.19,13.198,31.445,3.023,XMMXCS J010649.3+010324.7,0.7934317,Y,
SDSSXCS-28849,28849,17.95311,-0.01787,17.95343450244303,-0.018151004964289792,0.2743,605.02,30.948,55.749,22.963,2.614,XMMXCS J011148.7-000104.3,0.7450845,,Y
SDSSXCS-31144,31144,18.60406,0.49462,18.60660688241904,0.4924169519113925,0.3494,543.093,36.692,35.042,28.668,3.243,XMMXCS J011424.9+002940.6,0.7788977,,Y
SDSSXCS-239,239,28.17557,1.00817,28.174847327626125,1.0070892973837489,0.2276,1083.359,21.908,21.93,93.853,4.09,XMMXCS J015242.1+010029.4,0.98739165,Y,
