name,ra,dec,z,r500,r500+-,Mg500,Mg500+-,Mhy500,Mhy500+-,Lx0124_500,Lx0124_500+-,Lx0124_500ce,Lx0124_500ce+-,Tx_500ce,Tx_500ce+-
Abell 2256,256.0095833333334,78.63722222222222,0.0581,1.33,0.08,0.82,0.09,7.2,1.0,4.6,0.4,3.46,0.32,6.9,0.16
Abell 1795,207.22125,26.593888888888888,0.0622,1.22,0.06,0.63,0.07,5.5,0.8,6.0,0.4,2.48,0.16,6.14,0.1
Abell 401,44.73833333333333,13.579444444444444,0.0743,1.49,0.08,1.16,0.15,10.1,1.6,6.8,0.4,4.45,0.29,7.72,0.3
Abell 2029,227.73291666666665,5.745555555555556,0.0779,1.45,0.07,1.07,0.13,9.3,1.4,10.6,1.0,4.14,0.39,8.22,0.16
Abell 2255,258.2083333333333,64.06194444444445,0.0809,1.24,0.08,0.67,0.1,5.9,1.0,2.9,0.3,2.39,0.22,6.42,0.16
Abell 478,63.355000000000004,10.466666666666667,0.0881,1.48,0.08,1.15,0.15,10.1,1.6,13.3,1.2,4.88,0.47,7.96,0.27
Abell 2142,239.58791666666667,27.229166666666668,0.0904,1.64,0.08,1.59,0.19,13.9,2.1,12.4,0.6,6.43,0.35,10.04,0.26
Abell 2244,255.67500000000004,34.05666666666667,0.0989,1.25,0.07,0.7,0.11,6.2,1.1,5.2,0.5,2.72,0.27,5.37,0.12
Abell 2034,227.5525,33.5125,0.113,1.28,0.07,0.77,0.1,6.7,1.0,4.0,0.4,2.88,0.27,7.15,0.32
Abell 1068,160.18499999999997,39.95361111111111,0.1386,1.04,0.05,0.43,0.06,3.7,0.6,5.6,0.5,1.78,0.18,3.87,0.12
Abell 2204,248.1966666666667,5.575833333333334,0.1511,1.46,0.07,1.18,0.14,10.3,1.5,17.9,1.6,5.3,0.52,8.55,0.58
Abell 2218,248.97083333333333,66.21,0.171,1.28,0.09,0.82,0.12,7.2,1.2,5.1,0.5,3.35,0.32,6.97,0.37
Abell 1914,216.50416666666666,37.82694444444444,0.1712,1.46,0.1,1.21,0.14,10.6,1.5,11.3,1.0,5.44,0.55,9.48,0.49
Abell 665,127.74208333333337,65.85055555555556,0.1818,1.55,0.07,1.46,0.16,12.7,1.8,8.6,0.8,5.65,0.52,8.03,0.24
Abell 520,73.5375,2.921666666666667,0.203,1.5,0.08,1.37,0.15,11.9,1.6,8.4,0.3,6.41,0.2,7.23,0.23
Abell 963,154.265,39.047777777777775,0.206,1.25,0.06,0.78,0.1,6.8,1.0,6.5,0.2,3.47,0.15,6.08,0.3
RX J0439.0+0520,69.75916666666666,5.345,0.208,0.92,0.05,0.31,0.04,2.7,0.5,4.4,0.1,1.56,0.06,4.96,0.54
Abell 1423,179.3225,33.611111111111114,0.213,1.35,0.1,1.0,0.2,8.7,2.0,6.2,0.4,3.97,0.24,5.75,0.59
Zwicky 2701,148.20499999999998,51.885,0.214,1.04,0.06,0.46,0.07,4.0,0.7,4.5,0.2,1.79,0.11,6.75,0.54
Abell 773,139.46958333333333,51.72666666666667,0.217,1.34,0.06,0.98,0.1,8.6,1.1,7.5,0.2,4.77,0.15,7.37,0.45
Abell 2261,260.6125,32.132777777777775,0.224,1.59,0.09,1.65,0.25,14.4,2.6,12.0,0.4,5.63,0.23,6.1,0.32
Abell 1682,196.71125,46.55833333333333,0.226,1.5,0.13,1.41,0.34,12.4,3.2,6.5,0.7,4.96,0.61,7.01,2.14
Abell 1763,203.82916666666665,40.999722222222225,0.2279,1.67,0.11,1.94,0.33,17.0,3.4,10.5,0.6,7.29,0.39,6.32,0.4
Abell 2219,250.08458333333337,46.70833333333334,0.2281,1.74,0.08,2.16,0.23,18.9,2.5,15.5,0.8,9.58,0.53,10.9,0.53
Abell 2111,234.92125,34.41861111111111,0.229,1.28,0.11,0.88,0.2,7.8,1.9,5.0,0.3,3.61,0.22,6.51,0.72
Zwicky 5247,188.59208333333333,9.784722222222221,0.229,1.31,0.14,0.94,0.18,8.2,1.8,4.3,0.3,3.74,0.24,5.31,1.07
