name,mantz_ra,mantz_dec,z,Mg500,Mg500+-,redmapper_ID,redmapper_NAME,redmapper_ra,redmapper_dec,Z_LAMBDA,Z_LAMBDA_ERR,LAMBDA,LAMBDA_ERR,S,Z_SPEC,OBJID,IMAG,IMAG_ERR,MODEL_MAG_U,MODEL_MAGERR_U,MODEL_MAG_G,MODEL_MAGERR_G,MODEL_MAG_R,MODEL_MAGERR_R,MODEL_MAG_I,MODEL_MAGERR_I,MODEL_MAG_Z,MODEL_MAGERR_Z,ILUM,P_CEN,RA_CEN,DEC_CEN,ID_CEN,PZBINS,PZ
Abell 2142,239.58791666666667,27.229166666666668,0.0904,1.59,0.19,1,RMJ155820.0+271400.3,239.5833290688836,27.233412917827273,0.09483067,0.004581776,169.83784,4.1870255,1.0113665,0.09080672,1237662340012638224,0.0,0.0,17.76729,0.049571823,15.414802,0.0037844528,14.3970995,0.0027201786,13.97824,0.0026982713,13.619685,0.0051517654,115.149506,"(0.87483835, 0.12514694, 1.3188495E-5, 1.0466367E-6, 5.368429E-7)","(239.58333, 239.5554, 239.60272, 239.52678, 239.55963)","(27.233414, 27.248121, 27.229519, 27.274109, 27.272102)","(25404293, 25403990, 25404292, 25404032, 25404056)","(0.06894211, 0.07153096, 0.07411982, 0.076708674, 0.079297535, 0.08188639, 0.08447525, 0.0870641, 0.089652956, 0.092241816, 0.09483067, 0.09741953, 0.10000838, 0.10259724, 0.10518609, 0.10777494, 0.11036381, 0.112952664, 0.11554152, 0.11813037, 0.120719224)","(6.6654225E-6, 1.761979E-4, 0.0023823027, 0.03163892, 0.23194079, 1.5463539, 6.1498165, 20.581387, 44.371845, 71.69584, 87.1563, 76.3236, 46.574085, 22.104368, 6.767146, 1.7394874, 0.2669927, 0.037152253, 0.0028593452, 2.1519138E-4, 8.297843E-6)"
Abell 2244,255.67500000000004,34.05666666666667,0.0989,0.7,0.11,95,RMJ170245.5+340340.1,255.68977356092518,34.06114958028094,0.09674991,0.0047503286,85.5236,2.874893,1.0069835,0.09321232,1237655474508857358,0.0,0.0,18.617104,0.038662393,16.740501,0.0046900827,15.69346,0.0031701934,15.248405,0.0030781075,14.984355,0.0062816376,50.13287,"(0.9427599, 0.056957636, 2.0289236E-4, 6.589542E-5, 1.37794705E-5)","(255.68977, 255.62807, 255.62962, 255.65076, 255.64171)","(34.06115, 34.041893, 34.03902, 34.088512, 34.078114)","(8976346, 8976378, 8976379, 8976225, 8976238)","(0.06978572, 0.07248214, 0.075178556, 0.07787497, 0.0805714, 0.083267815, 0.08596423, 0.08866065, 0.09135707, 0.09405349, 0.09674991, 0.09944633, 0.10214275, 0.10483916, 0.107535586, 0.110231996, 0.11292842, 0.115624845, 0.118321255, 0.12101768, 0.12371409)","(1.05270365E-5, 1.9681643E-4, 0.0033546963, 0.03370733, 0.29326493, 1.5842831, 7.039436, 20.456156, 44.133503, 72.52912, 84.13658, 70.59363, 43.991463, 18.821556, 6.296278, 1.3715606, 0.24591957, 0.027210351, 0.002605064, 1.8428078E-4, 7.425072E-6)"
Abell 2034,227.5525,33.5125,0.113,0.77,0.1,55,RMJ151011.7+332911.3,227.54880323874056,33.486467734774344,0.119237766,0.003746034,99.80225,3.735475,1.0199596,-1.0,1237662194004656475,0.0,0.0,17.779467,0.041170716,15.780211,0.0040801303,14.75407,0.0028658796,14.30432,0.0027716309,14.009382,0.0055045323,72.548065,"(0.9750289, 0.013204514, 0.0062975204, 0.0054037683, 6.538029E-5)","(227.5488, 227.55293, 227.5838, 227.48906, 227.49895)","(33.48647, 33.492496, 33.48598, 33.45417, 33.46282)","(22515067, 22515068, 22515381, 22515045, 22514991)","(0.09800566, 0.10012887, 0.10225208, 0.104375295, 0.1064985, 0.10862171, 0.110744916, 0.11286814, 0.114991345, 0.11711455, 0.11923776, 0.12136098, 0.12348419, 0.1256074, 0.12773061, 0.12985381, 0.13197704, 0.13410024, 0.13622345, 0.13834667, 0.14046988)","(1.2159197E-5, 2.4343558E-4, 0.0035838229, 0.038801212, 0.3081723, 1.7934434, 7.6359835, 23.749956, 53.85913, 88.837105, 106.51959, 92.64813, 58.311707, 26.549366, 8.711412, 2.060211, 0.35027623, 0.042761702, 0.0037419894, 3.0580186E-4, 1.4115372E-5)"
Abell 1068,160.18499999999997,39.95361111111111,0.1386,0.43,0.06,1628,RMJ104045.4+395448.6,160.18896087312652,39.913487619886,0.1430842,0.0042034686,42.84018,2.5856922,0.9998079,0.13405976,1237661383314702575,0.0,0.0,19.893375,0.075487524,17.954796,0.007835279,16.885658,0.005161673,16.442993,0.004722521,16.091301,0.010648665,21.895653,"(0.7930312, 0.19489436, 0.009972161, 0.002027755, 7.4512005E-5)","(160.18896, 160.12013, 160.2628, 160.19589, 160.11296)","(39.913486, 40.001034, 39.921654, 39.931065, 39.99328)","(18825022, 22581158, 18825003, 18825024, 22581155)","(0.11957392, 0.12192495, 0.12427597, 0.126627, 0.12897803, 0.13132906, 0.13368008, 0.1360311, 0.13838214, 0.14073315, 0.14308418, 0.14543521, 0.14778624, 0.15013726, 0.15248829, 0.15483932, 0.15719035, 0.15954137, 0.1618924, 0.16424343, 0.16659445)","(2.8796427E-5, 4.7725954E-4, 0.0059920633, 0.056714848, 0.36165425, 1.9502233, 7.814922, 23.179876, 50.628014, 81.15574, 95.0708, 81.085754, 50.21866, 23.79594, 7.8455667, 1.8619086, 0.31788716, 0.039051823, 0.0034592685, 2.2159218E-4, 1.0316019E-5)"
Abell 1914,216.50416666666666,37.82694444444444,0.1712,1.21,0.14,65,RMJ142556.7+374859.2,216.4861180873681,37.81645558713522,0.17051592,0.0037779217,103.34141,4.010948,1.0105821,0.17001231,1237662194537201844,0.0,0.0,18.955425,0.08153048,16.862116,0.006983018,15.625439,0.0040193712,15.185971,0.003913553,14.864969,0.009584061,64.909996,"(0.9656521, 0.03343037, 7.2534755E-4, 1.1176089E-4, 8.0420716E-5)","(216.48611, 216.51619, 216.51073, 216.48802, 216.4975)","(37.816456, 37.8315, 37.830917, 37.817158, 37.847794)","(22566675, 22566684, 22566676, 22566685, 22566671)","(0.14879057, 0.1509631, 0.15313564, 0.15530817, 0.1574807, 0.15965323, 0.16182578, 0.1639983, 0.16617084, 0.16834337, 0.17051591, 0.17268844, 0.17486097, 0.17703351, 0.17920604, 0.18137857, 0.1835511, 0.18572363, 0.18789618, 0.1900687, 0.19224124)","(3.6913136E-6, 1.07228654E-4, 0.002150382, 0.02978565, 0.28508282, 1.614765, 7.6676893, 25.305235, 58.227093, 91.06103, 106.26277, 87.39044, 50.947823, 23.239788, 7.126545, 1.574355, 0.25228912, 0.029531687, 0.003218414, 2.1108228E-4, 1.0349717E-5)"
Abell 963,154.265,39.047777777777775,0.206,0.78,0.1,15984,RMJ101703.6+390249.4,154.26514811058766,39.04705567112773,0.2051836,0.006052893,31.79558,3.9185114,1.0515449,0.20560744,1237661139034046481,0.0,0.0,20.11322,0.15942748,17.307146,0.007758517,15.934493,0.0040977183,15.423299,0.0041344566,15.113669,0.008828256,28.551146,"(0.95422244, 0.044654746, 8.6539495E-4, 2.0676866E-4, 5.0655133E-5)","(154.26515, 154.28067, 154.34175, 154.30765, 154.28616)","(39.047054, 39.06059, 39.07769, 39.064766, 39.04962)","(18134507, 18134531, 18134850, 18134599, 18134586)","(0.1665876, 0.1704472, 0.17430681, 0.1781664, 0.182026, 0.1858856, 0.1897452, 0.1936048, 0.19746439, 0.201324, 0.2051836, 0.20904319, 0.2129028, 0.21676238, 0.22062199, 0.22448157, 0.22834118, 0.23220079, 0.23606037, 0.23991998, 0.24377958)","(1.1396166E-9, 1.7286874E-7, 1.6548576E-5, 7.2426477E-4, 0.019741887, 0.2681498, 2.2747843, 10.572207, 31.26291, 56.03401, 65.807556, 51.66892, 27.455791, 10.651519, 2.8841617, 0.6156865, 0.094292745, 0.012157301, 0.0011506627, 9.687426E-5, 6.0996576E-6)"
Abell 1423,179.3225,33.611111111111114,0.213,1.0,0.2,376,RMJ115715.2+333638.5,179.31323546362367,33.610706938161215,0.21948987,0.005796918,86.01176,4.1998205,0.9985051,0.22043326,1237665126931234948,0.0,0.0,22.221693,0.7296371,18.855225,0.017852113,17.51862,0.009028535,17.027626,0.0087700095,16.740791,0.022482662,51.344227,"(0.96919423, 0.03075891, 2.0153342E-5, 1.3634789E-5, 1.2992554E-5)","(179.31323, 179.32042, 179.40149, 179.39514, 179.30908)","(33.610706, 33.607445, 33.624035, 33.621346, 33.60535)","(31746860, 31746861, 31747185, 31747125, 32624317)","(0.18481237, 0.18828014, 0.19174787, 0.19521561, 0.19868338, 0.20215112, 0.20561886, 0.20908663, 0.21255437, 0.2160221, 0.21948987, 0.22295761, 0.22642535, 0.22989312, 0.23336086, 0.23682863, 0.24029636, 0.2437641, 0.24723187, 0.2506996, 0.25416738)","(8.559849E-8, 6.097978E-6, 2.49868E-4, 0.0060314005, 0.075953715, 0.70029044, 4.061615, 15.143302, 37.076168, 60.812004, 68.36712, 54.4606, 30.71426, 12.481899, 3.7153099, 0.8229526, 0.15419672, 0.020079361, 0.0020289014, 1.611392E-4, 1.0179813E-5)"
Zwicky 2701,148.20499999999998,51.885,0.214,0.46,0.07,3039,RMJ095249.2+515305.4,148.20487631679214,51.8848373892798,0.21531875,0.0060104346,49.704918,3.3627012,0.9984976,0.21519418,1237657771246223413,0.0,0.0,20.06562,0.2223028,17.423536,0.00972553,16.09446,0.0053534135,15.5889435,0.005203012,15.231404,0.01435619,42.190933,"(0.932511, 0.041728783, 0.013063048, 0.0068522883, 0.005844949)","(148.20488, 148.12753, 148.12262, 148.2104, 148.25565)","(51.88484, 51.820045, 51.821075, 51.92401, 51.873768)","(11826526, 11826543, 11826542, 11826805, 11826796)","(0.17744619, 0.18123344, 0.1850207, 0.18880795, 0.19259521, 0.19638246, 0.20016973, 0.20395698, 0.20774423, 0.21153149, 0.21531872, 0.219106, 0.22289325, 0.2266805, 0.23046775, 0.234255, 0.23804228, 0.24182953, 0.24561678, 0.24940403, 0.25319126)","(1.4453564E-9, 2.4400705E-7, 2.0828833E-5, 0.0010856588, 0.025342945, 0.33068463, 2.4974682, 11.956959, 32.754982, 57.416203, 66.410736, 51.15191, 27.632227, 10.715108, 3.0580542, 0.60881525, 0.09956723, 0.012788089, 0.0013141494, 9.770725E-5, 6.690331E-6)"
Abell 773,139.46958333333333,51.72666666666667,0.217,0.98,0.1,13,RMJ091753.4+514337.5,139.47258307756059,51.72709579554531,0.22690289,0.005877098,153.60655,4.73977,1.0033137,-1.0,1237655109440241892,0.0,0.0,21.2131,0.5436029,17.454985,0.010106202,16.08402,0.0050459574,15.571074,0.0046219234,15.334637,0.011224438,115.65399,"(0.92639714, 0.07337379, 2.0012163E-4, 2.1430695E-5, 7.585768E-6)","(139.47258, 139.47287, 139.48083, 139.51903, 139.47636)","(51.727097, 51.733757, 51.71637, 51.72911, 51.73234)","(7625135, 7625134, 7625166, 7625175, 7625136)","(0.19224943, 0.19571477, 0.19918013, 0.20264547, 0.20611082, 0.20957616, 0.21304151, 0.21650687, 0.2199722, 0.22343755, 0.2269029, 0.23036826, 0.23383358, 0.23729894, 0.24076429, 0.24422964, 0.24769497, 0.25116035, 0.2546257, 0.25809103, 0.2615564)","(5.097425E-7, 2.4033523E-5, 6.9972966E-4, 0.012790843, 0.14908382, 0.97694343, 4.9933786, 16.985962, 38.99656, 61.262352, 67.109825, 52.67683, 29.375576, 11.77109, 3.4303026, 0.8356021, 0.1360057, 0.016604003, 0.0015348829, 1.085486E-4, 7.4705745E-6)"
Abell 2261,260.6125,32.132777777777775,0.224,1.65,0.25,14,RMJ172227.2+320757.2,260.61325903724463,32.1325684169872,0.22932445,0.0060095927,179.95189,7.0335517,1.0456073,0.22326326,1237665569301987827,0.0,0.0,19.467768,0.19750245,16.727022,0.010206048,15.258981,0.0040769805,14.774956,0.0037958687,14.447551,0.008368342,134.45016,"(0.68348914, 0.16585977, 0.13422106, 0.014431244, 0.0019987654)","(260.61325, 260.59198, 260.59857, 260.5977, 260.5709)","(32.13257, 32.026253, 32.02452, 32.114162, 32.15349)","(34917204, 34917191, 34917190, 34917266, 34916875)","(0.19413507, 0.19765401, 0.20117295, 0.20469189, 0.20821083, 0.21172975, 0.21524869, 0.21876763, 0.22228657, 0.2258055, 0.22932445, 0.23284338, 0.23636232, 0.23988126, 0.2434002, 0.24691914, 0.2504381, 0.25395703, 0.25747597, 0.26099485, 0.2645138)","(6.336237E-7, 2.8588202E-5, 7.993781E-4, 0.0140981395, 0.15910034, 1.0170643, 5.0839205, 16.996777, 38.52211, 60.057106, 65.64918, 51.662632, 29.014719, 11.769293, 3.4865575, 0.7627962, 0.14457008, 0.018168764, 0.0017360218, 1.2715874E-4, 7.2083126E-6)"
